                  timestamp     open     high      low    close  volume
0 2019-05-06 13:30:00+00:00  2898.00  2898.50  2894.00  2898.00    1258
1 2019-05-06 13:35:00+00:00  2898.25  2908.50  2898.25  2908.00    6501
2 2019-05-06 13:40:00+00:00  2907.75  2911.25  2906.50  2910.25    3095
3 2019-05-06 13:45:00+00:00  2910.25  2911.50  2909.25  2911.00    2001
4 2019-05-06 13:50:00+00:00  2911.00  2911.00  2905.25  2906.00    2255
5 2019-05-06 13:55:00+00:00  2905.75  2911.75  2905.50  2910.50    2435
6 2019-05-06 14:00:00+00:00  2910.50  2914.50  2910.50  2912.25    2827
7 2019-05-06 14:05:00+00:00  2912.25  2912.25  2909.50  2910.75    3056
8 2019-05-06 14:10:00+00:00  2911.00  2914.00  2911.00  2913.25    4660
9 2019-05-06 14:15:00+00:00  2913.25  2916.50  2913.25  2914.50    3049
