entry_time,exit_time,direction,contracts,entry_price,exit_price,pnl,reason,stop_ticks
2023-05-23 17:25:00+00:00,2023-05-23 17:30:00+00:00,long,5,4183.5,4175.5,-229.75,STOP,32
2023-05-23 17:40:00+00:00,2023-05-23 18:25:00+00:00,long,5,4172.0,4164.0,-229.75,STOP,32
2023-05-23 18:35:00+00:00,2023-05-23 19:35:00+00:00,long,5,4160.0,4165.5,107.75,MAX_HOLD,32
2023-05-24 15:05:00+00:00,2023-05-24 15:30:00+00:00,long,5,4119.0,4135.0,370.25,TARGET,32
2023-05-24 16:25:00+00:00,2023-05-24 17:25:00+00:00,long,5,4117.0,4120.0,45.25,MAX_HOLD,32
2023-05-24 18:35:00+00:00,2023-05-24 19:20:00+00:00,long,5,4117.75,4133.75,370.25,TARGET,32
2023-05-24 19:55:00+00:00,2023-05-24 19:55:00+00:00,long,5,4125.25,4124.5,-48.5,SESSION_FLAT,32
2023-05-25 15:15:00+00:00,2023-05-25 15:35:00+00:00,long,5,4156.75,4148.75,-229.75,STOP,32
2023-05-25 15:45:00+00:00,2023-05-25 16:25:00+00:00,long,5,4140.5,4156.5,370.25,TARGET,32
2023-05-25 16:30:00+00:00,2023-05-25 17:30:00+00:00,long,5,4153.5,4162.25,189.0,MAX_HOLD,32
2023-05-25 17:40:00+00:00,2023-05-25 18:40:00+00:00,long,5,4161.5,4157.5,-129.75,MAX_HOLD,32
2023-05-25 18:50:00+00:00,2023-05-25 19:50:00+00:00,long,5,4155.25,4164.25,195.25,MAX_HOLD,32
2023-05-25 19:55:00+00:00,2023-05-25 19:55:00+00:00,long,5,4164.5,4160.5,-129.75,SESSION_FLAT,32
2023-05-26 13:35:00+00:00,2023-05-26 13:45:00+00:00,long,5,4167.75,4183.75,370.25,TARGET,32
2023-05-26 13:55:00+00:00,2023-05-26 14:25:00+00:00,long,5,4182.0,4198.0,370.25,TARGET,32
2023-05-26 15:15:00+00:00,2023-05-26 16:15:00+00:00,long,5,4202.0,4207.5,107.75,MAX_HOLD,32
2023-05-26 16:20:00+00:00,2023-05-26 17:20:00+00:00,long,5,4207.5,4211.25,64.0,MAX_HOLD,32
2023-05-26 17:25:00+00:00,2023-05-26 18:25:00+00:00,long,5,4211.5,4210.75,-48.5,MAX_HOLD,32
2023-05-26 19:55:00+00:00,2023-05-26 19:55:00+00:00,long,5,4213.75,4218.25,82.75,SESSION_FLAT,32
2023-05-29 13:35:00+00:00,2023-05-29 14:35:00+00:00,long,5,4221.75,4224.5,39.0,MAX_HOLD,32
2023-05-29 14:40:00+00:00,2023-05-29 15:40:00+00:00,long,5,4224.75,4226.5,14.0,MAX_HOLD,32
2023-05-30 14:05:00+00:00,2023-05-30 14:30:00+00:00,long,5,4223.75,4215.75,-229.75,STOP,32
2023-05-30 15:20:00+00:00,2023-05-30 16:20:00+00:00,long,5,4216.5,4216.75,-23.5,MAX_HOLD,32
2023-05-30 16:45:00+00:00,2023-05-30 17:45:00+00:00,long,5,4209.25,4208.75,-42.25,MAX_HOLD,32
2023-05-30 17:50:00+00:00,2023-05-30 18:05:00+00:00,long,5,4209.0,4201.0,-229.75,STOP,32
2023-05-31 15:15:00+00:00,2023-05-31 16:15:00+00:00,long,5,4179.25,4182.25,45.25,MAX_HOLD,32
2023-05-31 16:25:00+00:00,2023-05-31 17:25:00+00:00,long,5,4180.0,4185.5,107.75,MAX_HOLD,32
2023-05-31 17:35:00+00:00,2023-05-31 18:35:00+00:00,long,5,4190.0,4196.5,132.75,MAX_HOLD,32
2023-05-31 19:55:00+00:00,2023-05-31 19:55:00+00:00,long,5,4196.25,4191.25,-154.75,SESSION_FLAT,32
2023-06-01 13:35:00+00:00,2023-06-01 13:40:00+00:00,long,5,4188.75,4180.75,-229.75,STOP,32
2023-06-01 13:45:00+00:00,2023-06-01 14:45:00+00:00,long,5,4184.5,4205.75,501.5,MAX_HOLD,32
2023-06-01 15:05:00+00:00,2023-06-01 15:55:00+00:00,long,5,4204.25,4220.25,370.25,TARGET,32
2023-06-01 16:00:00+00:00,2023-06-01 17:00:00+00:00,long,5,4219.0,4227.25,176.5,MAX_HOLD,32
2023-06-01 17:05:00+00:00,2023-06-01 18:05:00+00:00,long,5,4227.5,4230.75,51.5,MAX_HOLD,32
2023-06-01 18:10:00+00:00,2023-06-01 19:10:00+00:00,long,5,4231.0,4237.5,132.75,MAX_HOLD,32
2023-06-01 19:40:00+00:00,2023-06-01 19:55:00+00:00,long,5,4223.0,4226.5,57.75,SESSION_FLAT,32
2023-06-02 14:05:00+00:00,2023-06-02 14:40:00+00:00,long,5,4254.0,4270.0,370.25,TARGET,32
2023-06-02 14:45:00+00:00,2023-06-02 15:05:00+00:00,long,5,4270.25,4286.25,370.25,TARGET,32
2023-06-02 15:40:00+00:00,2023-06-02 16:40:00+00:00,long,5,4282.75,4286.25,57.75,MAX_HOLD,32
2023-06-02 16:45:00+00:00,2023-06-02 17:45:00+00:00,long,5,4286.5,4289.25,39.0,MAX_HOLD,32
