day,pnl,mae_usd
2025-06-01,515.02,-312.5
2025-06-02,320.02,-405.0
2025-06-03,-32.48,-62.5
2025-06-04,-342.48,-480.0
2025-06-05,757.52,-42.5
2025-06-08,-2.48,-180.0
2025-06-09,270.02,-227.5
2025-06-10,-117.48,-332.5
2025-06-11,152.52,-465.0
2025-06-12,-609.98,-1187.5
2025-06-15,887.52,-92.5
2025-06-16,-537.48,-630.0
2025-06-17,32.52,-182.5
2025-06-18,-597.48,-692.5
2025-06-19,350.02,-15.0
2025-06-22,1135.02,-155.0
2025-06-23,657.52,-27.5
2025-06-24,-2.48,-132.5
2025-06-25,502.52,-35.0
2025-06-26,195.02,-157.5
2025-06-29,242.52,-2.5
2025-06-30,12.52,-185.0
2025-07-01,277.52,-130.0
2025-07-02,460.02,-67.5
2025-07-03,-392.48,-462.5
2025-07-06,-494.98,-612.5
2025-07-07,87.52,-92.5
2025-07-08,327.52,-122.5
2025-07-09,165.02,-192.5
2025-07-10,-289.98,-462.5
2025-07-13,337.52,-162.5
2025-07-14,-359.98,-367.5
2025-07-15,252.52,-332.5
2025-07-16,430.02,-115.0
2025-07-17,-77.48,-205.0
2025-07-20,115.02,-60.0
2025-07-21,-17.48,-295.0
2025-07-22,575.02,-47.5
2025-07-23,7.52,-137.5
2025-07-24,205.02,-55.0
2025-07-27,-237.48,-382.5
2025-07-28,-224.98,-285.0
2025-07-29,207.52,-377.5
2025-07-30,-662.48,-770.0
2025-07-31,-967.48,-1222.5
2025-08-03,1107.52,-57.5
2025-08-04,-467.48,-540.0
2025-08-05,450.02,-107.5
2025-08-06,-17.48,-367.5
2025-08-07,482.52,-45.0
2025-08-10,-284.98,-370.0
2025-08-11,682.52,-70.0
2025-08-12,160.02,-77.5
2025-08-13,-2.48,-332.5
2025-08-14,-237.48,-272.5
2025-08-17,-2.48,-115.0
2025-08-18,-349.98,-490.0
2025-08-19,-214.98,-715.0
2025-08-20,-237.48,-445.0
2025-08-21,920.02,-290.0
2025-08-24,-337.48,-402.5
2025-08-25,250.02,-310.0
2025-08-26,-94.98,-280.0
2025-08-27,325.02,-142.5
2025-08-28,-442.48,-615.0
2025-08-31,30.02,-202.5
2025-09-01,-374.98,-1087.5
2025-09-02,110.02,-237.5
2025-09-03,540.02,-60.0
2025-09-04,-282.48,-625.0
2025-09-07,212.52,-42.5
2025-09-08,262.52,-195.0
2025-09-09,42.52,-107.5
2025-09-10,542.52,-17.5
2025-09-11,-62.48,-190.0
2025-09-14,292.52,-35.0
2025-09-15,-19.98,-132.5
2025-09-16,-47.48,-590.0
2025-09-17,320.02,-20.0
2025-09-18,212.52,-197.5
2025-09-21,305.02,-215.0
2025-09-22,-347.48,-487.5
2025-09-23,-192.48,-390.0
2025-09-24,-319.98,-730.0
2025-09-25,360.02,-110.0
2025-09-28,125.02,-12.5
2025-09-29,137.52,-157.5
2025-09-30,310.02,-452.5
2025-10-01,60.02,-160.0
2025-10-02,-14.98,-102.5
2025-10-05,217.52,-20.0
2025-10-06,-239.98,-430.0
2025-10-07,397.52,-82.5
2025-10-08,-252.48,-427.5
2025-10-09,-1802.48,-1905.0
2025-10-12,585.02,-17.5
2025-10-13,-104.98,-972.5
2025-10-14,247.52,-335.0
2025-10-15,-569.98,-827.5
2025-10-16,500.02,-885.0
2025-10-19,567.52,-272.5
2025-10-20,-72.48,-202.5
2025-10-21,-374.98,-827.5
2025-10-22,420.02,-170.0
2025-10-23,475.02,-17.5
2025-10-26,395.02,-95.0
2025-10-27,122.52,-125.0
2025-10-28,-14.98,-465.0
2025-10-29,-147.48,-575.0
2025-10-30,-272.48,-532.5
2025-11-02,-107.48,-435.0
2025-11-03,-809.98,-985.0
2025-11-04,250.02,-547.5
2025-11-05,-654.98,-960.0
2025-11-06,-27.48,-1087.5
2025-11-09,760.02,-132.5
2025-11-10,192.52,-277.5
2025-11-11,37.52,-220.0
2025-11-12,-1079.98,-1282.5
2025-11-13,-12.48,-945.0
2025-11-16,-727.48,-1085.0
2025-11-17,-692.48,-1032.5
2025-11-18,725.02,-175.0
2025-11-19,-1452.48,-1497.5
2025-11-20,712.52,-355.0
2025-11-23,722.52,-280.0
2025-11-24,540.02,-510.0
2025-11-25,472.52,-30.0
2025-11-26,-27.48,-60.0
2025-11-30,-269.98,-517.5
2025-12-01,97.52,-180.0
2025-12-02,205.02,-252.5
2025-12-03,5.02,-297.5
2025-12-04,137.52,-95.0
2025-12-07,-197.48,-462.5
2025-12-08,-197.48,-215.0
2025-12-09,460.02,-160.0
2025-12-10,302.52,-710.0
2025-12-11,-819.98,-1102.5
