day,pnl,mae_usd
2025-06-01,1011.52,-567.0
2025-06-02,595.52,-615.0
2025-06-03,280.52,-180.0
2025-06-04,-839.48,-968.0
2025-06-05,1286.52,-67.0
2025-06-08,61.52,-332.0
2025-06-09,522.52,-361.0
2025-06-10,-263.48,-643.0
2025-06-11,167.52,-619.0
2025-06-12,-1007.48,-1763.0
2025-06-15,1511.52,-247.0
2025-06-16,-808.48,-1023.0
2025-06-17,120.52,-300.0
2025-06-18,-1028.48,-1241.0
2025-06-19,535.52,-2.0
2025-06-22,1735.52,-346.0
2025-06-23,1330.52,-52.0
2025-06-24,211.52,-104.0
2025-06-25,831.52,-113.0
2025-06-26,223.52,-307.0
2025-06-29,504.52,-6.0
2025-06-30,-717.48,-1093.0
2025-07-01,606.52,-448.0
2025-07-02,844.52,-80.0
2025-07-03,-622.48,-712.0
2025-07-06,-578.48,-754.0
2025-07-07,248.52,-124.0
2025-07-08,517.52,-264.0
2025-07-09,-98.48,-570.0
2025-07-10,-299.48,-721.0
2025-07-13,660.52,-250.0
2025-07-14,-90.48,-162.0
2025-07-15,176.52,-733.0
2025-07-16,784.52,-210.0
2025-07-17,-157.48,-361.0
2025-07-20,413.52,-143.0
2025-07-21,-567.48,-933.0
2025-07-22,869.52,-191.0
2025-07-23,-22.48,-411.0
2025-07-24,201.52,-245.0
2025-07-27,-33.48,-317.0
2025-07-28,-233.48,-334.0
2025-07-29,835.52,-387.0
2025-07-30,-1466.48,-1647.0
2025-07-31,-1785.48,-2142.0
2025-08-03,1982.52,-115.0
2025-08-04,-1012.48,-1072.0
2025-08-05,1263.52,-188.0
2025-08-06,341.52,-348.0
2025-08-07,923.52,-66.0
2025-08-10,-559.48,-722.0
2025-08-11,1208.52,-145.0
2025-08-12,-102.48,-246.0
2025-08-13,-181.48,-548.0
2025-08-14,-393.48,-627.0
2025-08-17,-29.48,-306.0
2025-08-18,-1322.48,-1496.0
2025-08-19,-573.48,-1684.0
2025-08-20,-421.48,-811.0
2025-08-21,1400.52,-616.0
2025-08-24,-368.48,-621.0
2025-08-25,393.52,-557.0
2025-08-26,-332.48,-714.0
2025-08-27,879.52,-226.0
2025-08-28,-1234.48,-1439.0
2025-08-31,92.52,-429.0
2025-09-01,-552.48,-1912.0
2025-09-02,309.52,-328.0
2025-09-03,924.52,-185.0
2025-09-04,-99.48,-757.0
2025-09-07,468.52,-105.0
2025-09-08,431.52,-294.0
2025-09-09,-134.48,-462.0
2025-09-10,595.52,-48.0
2025-09-11,335.52,-238.0
2025-09-14,752.52,-148.0
2025-09-15,30.52,-149.0
2025-09-16,-121.48,-1158.0
2025-09-17,851.52,-47.0
2025-09-18,609.52,-241.0
2025-09-21,555.52,-413.0
2025-09-22,-664.48,-883.0
2025-09-23,-355.48,-848.0
2025-09-24,-407.48,-1301.0
2025-09-25,381.52,-481.0
2025-09-28,372.52,-15.0
2025-09-29,97.52,-359.0
2025-09-30,646.52,-844.0
2025-10-01,359.52,-64.0
2025-10-02,-482.48,-729.0
2025-10-05,743.52,-1.0
2025-10-06,-518.48,-796.0
2025-10-07,1212.52,-116.0
2025-10-08,-291.48,-776.0
2025-10-09,-3463.48,-3603.0
2025-10-12,1688.52,-1.0
2025-10-13,-674.48,-1928.0
2025-10-14,659.52,-357.0
2025-10-15,-624.48,-1184.0
2025-10-16,938.52,-1535.0
2025-10-19,996.52,-445.0
2025-10-20,-247.48,-494.0
2025-10-21,-935.48,-1888.0
2025-10-22,1065.52,-327.0
2025-10-23,907.52,-39.0
2025-10-26,1209.52,-1.0
2025-10-27,659.52,-242.0
2025-10-28,342.52,-532.0
2025-10-29,-121.48,-1231.0
2025-10-30,-716.48,-1074.0
2025-11-02,95.52,-273.0
2025-11-03,-2171.48,-2355.0
2025-11-04,737.52,-1050.0
2025-11-05,-1701.48,-2140.0
2025-11-06,-409.48,-2409.0
2025-11-09,1596.52,-267.0
2025-11-10,-206.48,-971.0
2025-11-11,-132.48,-752.0
2025-11-12,-2078.48,-2498.0
2025-11-13,142.52,-1897.0
2025-11-16,-1125.48,-1751.0
2025-11-17,-1466.48,-2100.0
2025-11-18,1684.52,-403.0
2025-11-19,-3483.48,-3597.0
2025-11-20,1026.52,-772.0
2025-11-23,1971.52,-439.0
2025-11-24,365.52,-1486.0
2025-11-25,955.52,-34.0
2025-11-26,-72.48,-125.0
2025-11-30,-273.48,-1097.0
2025-12-01,663.52,-396.0
2025-12-02,105.52,-772.0
2025-12-03,-88.48,-652.0
2025-12-04,415.52,-209.0
2025-12-07,-181.48,-729.0
2025-12-08,-140.48,-613.0
2025-12-09,471.52,-612.0
2025-12-10,71.52,-1584.0
2025-12-11,-2053.48,-2408.0
2025-12-14,-376.48,-628.0
2025-12-15,-12.48,-1097.0
2025-12-16,-1533.48,-1782.0
2025-12-17,872.52,-316.0
2025-12-18,1396.52,-115.0
2025-12-21,117.52,-158.0
2025-12-22,437.52,-372.0
2025-12-23,194.52,-139.0
2025-12-25,-117.48,-213.0
2025-12-28,-503.48,-894.0
2025-12-29,-246.48,-318.0
2025-12-30,-945.48,-973.0
2026-01-01,-396.48,-928.0
2026-01-04,483.52,-90.0
2026-01-05,977.52,-217.0
2026-01-06,-21.48,-431.0
2026-01-07,-438.48,-1080.0
2026-01-08,817.52,-420.0
2026-01-11,290.52,-1044.0
2026-01-12,-202.48,-580.0
2026-01-13,-1123.48,-1916.0
2026-01-14,426.52,-140.0
2026-01-15,-152.48,-520.0
2026-01-18,-279.48,-922.0
2026-01-19,-1056.48,-1205.0
2026-01-20,1459.52,-485.0
2026-01-21,448.52,-184.0
2026-01-22,319.52,-280.0
2026-01-25,1228.52,-65.0
2026-01-26,1019.52,-71.0
2026-01-27,612.52,-464.0
2026-01-28,-1183.48,-2969.0
2026-01-29,-1449.48,-1704.0
2026-02-01,1355.52,-1411.0
2026-02-02,-1839.48,-2622.0
2026-02-03,-946.48,-2426.0
2026-02-04,-2419.48,-2530.0
2026-02-05,2795.52,-679.0
2026-02-08,374.52,-1280.0
2026-02-09,-471.48,-656.0
2026-02-10,97.52,-785.0
2026-02-11,-1837.48,-2242.0
2026-02-12,-229.48,-1041.0
2026-02-15,-365.48,-664.0
2026-02-16,78.52,-1188.0
2026-02-17,627.52,-337.0
2026-02-18,-448.48,-770.0
2026-02-19,915.52,-669.0
2026-02-22,-751.48,-1217.0
2026-02-23,921.52,-373.0
2026-02-24,1750.52,-114.0
2026-02-25,-1400.48,-2148.0
2026-02-26,-256.48,-985.0
2026-03-01,1058.52,-1053.0
2026-03-02,-1131.48,-2609.0
2026-03-03,1696.52,-853.0
2026-03-04,-577.48,-1523.0
2026-03-05,-1418.48,-1644.0
2026-03-08,2671.52,-1162.0
2026-03-09,150.52,-583.0
2026-03-10,-193.48,-566.0
2026-03-11,-1510.48,-1693.0
2026-03-12,-804.48,-858.0
2026-03-15,1446.52,-72.0
2026-03-16,569.52,-571.0
2026-03-17,-1671.48,-1849.0
2026-03-18,24.52,-1164.0
2026-03-19,-1828.48,-2635.0
2026-03-22,2039.52,-566.0
2026-03-23,76.52,-1095.0
2026-03-24,-247.48,-542.0
2026-03-25,-1963.48,-2426.0
2026-03-26,-2290.48,-2397.0
2026-03-29,-350.48,-670.0
2026-03-30,3186.52,-607.0
2026-03-31,1176.52,-60.0
2026-04-01,129.52,-2061.0
2026-04-02,-330.48,-433.0
2026-04-05,1019.52,-450.0
2026-04-06,278.52,-1603.0
2026-04-07,2187.52,-521.0
2026-04-08,845.52,-344.0
2026-04-09,303.52,-197.0
2026-04-12,2257.52,-360.0
2026-04-13,1662.52,-87.0
2026-04-14,1447.52,-210.0
2026-04-15,469.52,-279.0
2026-04-16,1387.52,-162.0
2026-04-19,750.52,-275.0
2026-04-20,-231.48,-900.0
2026-04-21,1436.52,-29.0
2026-04-22,-476.48,-1604.0
2026-04-23,1768.52,-1.0
2026-04-26,116.52,-425.0
2026-04-27,-925.48,-1679.0
2026-04-28,227.52,-429.0
2026-04-29,1522.52,-160.0
2026-04-30,627.52,-381.0
2026-05-03,-560.48,-1096.0
2026-05-04,1786.52,-107.0
2026-05-05,1908.52,-6.0
2026-05-06,35.52,-442.0
2026-05-07,3006.52,-185.0
2026-05-10,426.52,-290.0
2026-05-11,-1083.48,-2635.0
2026-05-12,1563.52,-368.0
2026-05-13,485.52,-356.0
2026-05-14,-2092.48,-2424.0
2026-05-17,-196.48,-1285.0
2026-05-18,-804.48,-1749.0
2026-05-19,1494.52,-537.0
2026-05-20,788.52,-589.0
2026-05-21,313.52,-51.0
2026-05-24,1144.52,-16.0
2026-05-25,395.52,-876.0
2026-05-26,219.52,-712.0
2026-05-27,824.52,-1404.0
2026-05-28,231.52,-428.0
2026-05-31,548.52,-503.0
2026-06-01,793.52,-901.0
2026-06-02,-971.48,-991.0
2026-06-03,-201.48,-1234.0
2026-06-04,-6371.48,-6488.0
2026-06-07,2338.52,-91.0
2026-06-08,-1171.48,-4839.0
2026-06-09,-2604.48,-2682.0
2026-06-10,3824.52,-776.0
2026-06-11,903.52,-876.0
2026-06-14,2812.52,-6.0
2026-06-15,-2090.48,-2238.0
2026-06-16,-724.48,-1569.0
2026-06-17,2288.52,-216.0
2026-06-18,-360.48,-1409.0
2026-06-21,299.52,-977.0
2026-06-22,-3735.48,-4340.0
2026-06-23,1311.52,-2014.0
2026-06-24,-1273.48,-3198.0
2026-06-25,-1914.48,-2353.0
2026-06-28,2892.52,-27.0
2026-06-29,1959.52,-282.0
2026-06-30,-1804.48,-1974.0
2026-07-01,-2173.48,-3026.0
2026-07-02,1346.52,-175.0
2026-07-05,70.52,-1015.0
2026-07-06,-2179.48,-3002.0
2026-07-07,-11.48,-1908.0
