day,pnl,mae
2020-01-06,331.52,-221.0
2020-01-13,384.52,-9.0
2020-01-27,-218.48,-355.0
2020-02-03,442.52,-34.0
2020-02-10,669.52,0.0
2020-02-24,-899.48,-1076.0
2020-03-02,2074.52,-158.0
2020-03-23,1247.52,-227.0
2020-03-30,1688.52,-220.0
2020-04-06,2089.52,0.0
2020-04-13,149.52,-804.0
2020-04-20,-355.48,-416.0
2020-04-27,229.52,-152.0
2020-05-04,662.52,-390.0
2020-05-11,354.52,-321.0
2020-05-18,785.52,-46.0
2020-06-01,211.52,-364.0
2020-06-08,316.52,-289.0
2020-06-15,943.52,-637.0
2020-06-22,912.52,-173.0
2020-06-29,607.52,-270.0
2020-07-06,1034.52,0.0
2020-07-13,-1045.48,-1142.0
2020-07-20,1253.52,-306.0
2020-07-27,691.52,-351.0
2020-08-03,440.52,-210.0
2020-08-10,-252.48,-846.0
2020-08-17,548.52,-1.0
2020-08-24,177.52,-207.0
2020-08-31,434.52,-59.0
2020-09-14,713.52,0.0
2020-09-21,144.52,-1081.0
2020-09-28,865.52,-16.0
2020-10-05,815.52,-69.0
2020-10-12,1383.52,-148.0
2020-10-19,-752.48,-895.0
2020-10-26,-625.48,-1228.0
2020-11-09,-1660.48,-1681.0
2020-11-16,-136.48,-773.0
2020-11-23,-121.48,-495.0
2020-11-30,-150.48,-928.0
2020-12-07,203.52,-281.0
2020-12-14,125.52,-124.0
2020-12-21,-265.48,-1154.0
2020-12-28,389.52,-39.0
2021-01-04,-683.48,-1370.0
2021-01-11,-748.48,-841.0
2021-01-25,297.52,-839.0
2021-02-01,1738.52,-44.0
2021-02-08,178.52,-173.0
2021-02-22,-1465.48,-1495.0
2021-03-01,1076.52,-30.0
2021-03-08,-1491.48,-1548.0
2021-03-22,994.52,-125.0
2021-03-29,-53.480000000000004,-640.0
2021-04-05,946.52,-159.0
2021-04-12,-26.48,-342.0
2021-04-19,-347.48,-673.0
2021-04-26,389.52,-197.0
2021-05-03,-360.48,-431.0
2021-05-10,-1452.48,-1464.0
2021-05-17,-303.48,-792.0
2021-05-24,986.52,-135.0
2021-06-07,114.52,-323.0
2021-06-14,532.52,-126.0
2021-06-21,419.52,-254.0
2021-06-28,649.52,-58.0
2021-07-12,174.52,-154.0
2021-07-19,-499.48,-926.0
2021-07-26,70.52,-237.0
2021-08-02,-73.48,-159.0
2021-08-09,121.52,-351.0
2021-08-16,52.519999999999996,-812.0
2021-08-23,852.52,-19.0
2021-08-30,665.52,-47.0
2021-09-13,-60.480000000000004,-407.0
2021-09-20,-1125.48,-1910.0
2021-09-27,-502.48,-939.0
2021-10-04,-1259.48,-1653.0
2021-10-11,-444.48,-515.0
2021-10-18,554.52,-431.0
2021-10-25,698.52,-116.0
2021-11-01,70.52,-425.0
2021-11-15,-158.48,-577.0
2021-11-22,-824.48,-849.0
2021-11-29,872.52,-10.0
2021-12-06,412.52,-718.0
2021-12-13,-1097.48,-1156.0
2021-12-20,-328.48,-862.0
2021-12-27,867.52,-151.0
2022-01-03,412.52,-371.0
2022-01-10,154.52,-1629.0
2022-01-24,-194.48,-3375.0
2022-01-31,2010.52,-119.0
2022-02-07,-582.48,-796.0
2022-02-14,29.52,-868.0
2022-02-28,1510.52,-403.0
2022-03-07,-1044.48,-1078.0
2022-03-21,-135.48,-883.0
2022-03-28,922.52,-386.0
2022-04-04,1261.52,-182.0
2022-04-11,-1340.48,-1398.0
2022-04-18,86.52,-659.0
2022-04-25,822.52,-559.0
2022-05-02,701.52,-732.0
2022-05-09,-1644.48,-1900.0
2022-05-16,-659.48,-881.0
2022-05-23,697.52,-299.0
2022-06-06,205.52,-84.0
2022-06-13,-2024.48,-2197.0
2022-06-27,-385.48,-583.0
2022-07-11,-1042.48,-1183.0
2022-07-18,-552.48,-732.0
2022-07-25,-343.48,-694.0
2022-08-01,-72.48,-515.0
2022-08-08,-182.48,-422.0
2022-08-15,446.52,-305.0
2022-08-22,-1251.48,-1408.0
2022-08-29,37.519999999999996,-331.0
2022-09-12,504.52,-166.0
2022-09-19,421.52,-513.0
2022-09-26,-168.48,-424.0
2022-10-03,1042.52,-553.0
2022-10-10,-340.48,-760.0
2022-10-17,1549.52,-62.0
2022-10-24,340.52,-744.0
2022-10-31,-594.48,-906.0
2022-11-14,-278.48,-435.0
2022-11-21,-491.48,-623.0
2022-11-28,-465.48,-606.0
2022-12-05,-801.48,-1026.0
2022-12-12,711.52,-52.0
