,gain_importance
side,149
autocorr_5,104
vol_regime,91
vol_20,90
ema_ratio,86
rsi_14,82
relative_volume,78
lower_wick,75
vol_forecast,75
parkinson_vol,73
macd_hist,72
upper_wick,70
log_return_24,70
candle_range,67
minute_of_day_cos,66
ema_spread,65
macd,64
sma_30,64
price_vs_vwap,62
bb_position,62
minute_of_day_sin,61
vwap_momentum,60
log_return_2,57
true_range,55
atr_14,55
volume_imbalance,54
ema_34,54
log_return_4,51
candle_body,51
log_return_12,51
macd_signal,48
log_return_1,46
log_return_6,46
sma_20,38
trend_strength,38
ema_13,26
day_of_week,19
body_pct,12
large_move,4
rsi_divergence,1
is_synthetic,0
usable_for_training,0
