model_name,threshold,n_signals,n_total,signal_rate,win_rate,n_wins,n_losses,avg_winner,avg_loser,mean_pnl,total_pnl,sharpe,max_dd,profit_factor
BASELINE,0.3,928,928,1.0,0.4170258620689655,387.0,541.0,11.087380771439467,-11.416202553068866,-2.031626317524979,-1885.3492226631804,-2.5395671948904206,-1890.6592496059325,0.6947379085173851
CANDIDATE,0.3,928,928,1.0,0.4170258620689655,387.0,541.0,11.087380771439467,-11.416202553068866,-2.031626317524979,-1885.3492226631804,-2.5395671948904206,-1890.6592496059325,0.6947379085173851
BASELINE,0.35,928,928,1.0,0.4170258620689655,387.0,541.0,11.087380771439467,-11.416202553068866,-2.031626317524979,-1885.3492226631804,-2.5395671948904206,-1890.6592496059325,0.6947379085173851
CANDIDATE,0.35,373,928,0.4019396551724138,0.43967828418230565,164.0,209.0,10.305361205772043,-10.890696936664039,-1.5712504611693516,-586.0764220161682,-2.1154608853463888,-586.8903543847246,0.7425147882560683
BASELINE,0.4,928,928,1.0,0.4170258620689655,387.0,541.0,11.087380771439467,-11.416202553068866,-2.031626317524979,-1885.3492226631804,-2.5395671948904206,-1890.6592496059325,0.6947379085173851
CANDIDATE,0.4,208,928,0.22413793103448276,0.42788461538461536,89.0,119.0,11.146097920733155,-10.835407463257846,-1.4298594864540028,-297.4107731824326,-1.8519258951434803,-308.7267430013926,0.7693441429604606
BASELINE,0.45,890,928,0.959051724137931,0.41797752808988764,372.0,518.0,10.81855206081472,-11.1959220641968,-1.9943665872256917,-1774.9862626308657,-2.56403783742378,-1780.2962895736155,0.6939408485540292
CANDIDATE,0.45,9,928,0.009698275862068966,0.3333333333333333,3.0,6.0,7.542636411791638,-11.45347065771052,-5.121434967876468,-46.09291471088821,-7.67973619549307,-62.60940583283012,0.3292729617600193
BASELINE,0.5,143,928,0.1540948275862069,0.43356643356643354,62.0,81.0,13.436189312896817,-13.670541022448285,-1.9179726253056486,-274.27008541870777,-2.051417043481403,-307.8046593847792,0.7523104292867561
CANDIDATE,0.5,0,928,0.0,,,,,,,,,,
BASELINE,0.55,6,928,0.00646551724137931,0.5,3.0,3.0,16.457618629048937,-15.710682190873845,0.37346821908754624,2.2408093145252774,0.3674899351928063,-15.978923290793725,1.047543221172724
CANDIDATE,0.55,0,928,0.0,,,,,,,,,,
BASELINE,0.6,0,928,0.0,,,,,,,,,,
CANDIDATE,0.6,0,928,0.0,,,,,,,,,,
