feature,coefficient,abs_coef
log_return_1,1.1014423445225303,1.1014423445225303
log_return_4,0.3323466199238159,0.3323466199238159
atr_14,-0.1945101078483366,0.1945101078483366
minute_of_day_cos,-0.16534447009994852,0.16534447009994852
ema_spread,-0.15609721646675273,0.15609721646675273
vol_20,0.09758944029066115,0.09758944029066115
vol_regime,0.06513516689506926,0.06513516689506926
ema_21,0.05527193844268074,0.05527193844268074
ema_13,0.054556573209122765,0.054556573209122765
minute_of_day_sin,0.052062206470352014,0.052062206470352014
