session_date,train_bars,test_bars,skipped,skip_reason,train_events,test_events,total_pnl_usd,trades_count,max_drawdown_usd
2026-01-02,9180,78,False,,1590,6,0.0,0,0.0
2026-01-05,9090,78,False,,1584,2,0.0,0,0.0
2026-01-06,9090,78,False,,1577,13,3.7854838045505232,2,158.16190486153937
2026-01-07,9090,78,False,,1583,13,-129.64380570442196,1,0.0
2026-01-08,9102,78,False,,1582,3,0.0,0,0.0
2026-01-09,9180,78,False,,1593,9,119.1201394938212,1,0.0
2026-01-12,9090,78,False,,1583,5,0.0,0,0.0
2026-01-13,9090,78,False,,1587,7,0.0,0,0.0
2026-01-14,9090,78,False,,1580,7,-242.28290762786355,1,0.0
2026-01-15,9102,78,False,,1587,10,-32.234166651795874,2,134.25722975278768
2026-01-16,9180,78,False,,1605,8,-119.82634784377703,1,0.0
2026-01-19,9090,42,False,no_test_events,1591,0,0.0,0,0.0
2026-01-20,9054,78,False,,1583,8,-240.1484911964094,1,0.0
2026-01-21,9054,78,False,,1583,20,725.2731264172799,4,237.41503226551868
2026-01-22,9066,78,False,,1600,8,119.41308596672164,1,0.0
2026-01-23,9144,78,False,,1611,7,-157.11372522533063,1,0.0
2026-01-26,9054,78,False,,1562,3,89.19980092898689,1,0.0
2026-01-27,9054,78,False,,1566,6,0.0,0,0.0
2026-01-28,9054,78,False,,1552,6,0.0,0,0.0
2026-01-29,9066,78,False,,1554,8,0.0,0,0.0
2026-01-30,9144,78,False,,1566,9,21.291251093981373,2,0.0
2026-02-02,9054,78,False,,1551,5,82.34423626038327,1,0.0
2026-02-03,9054,78,False,,1545,18,-254.37356680400035,3,267.01964265533024
2026-02-04,9054,78,False,,1553,12,-42.98101977300473,2,0.0
2026-02-05,9066,78,False,,1562,9,486.06482214023026,3,264.1349719111604
2026-02-06,9144,78,False,,1575,4,118.29289885308347,1,0.0
2026-02-09,9054,78,False,,1561,10,240.45534824046723,2,0.0
2026-02-10,9054,78,False,,1567,3,0.0,0,0.0
2026-02-11,9054,78,False,,1566,6,0.0,0,0.0
2026-02-12,9066,78,False,,1564,16,0.0,0,0.0
2026-02-13,9144,78,False,,1586,11,-204.52431969956206,1,0.0
2026-02-16,9054,42,False,,1574,1,0.0,0,0.0
2026-02-17,9018,78,False,,1565,15,212.26763935172227,2,288.30136138159287
2026-02-18,9018,78,False,,1571,20,184.15209060467217,3,186.02718831347738
2026-02-19,9030,78,False,,1583,2,-186.8316153089604,1,0.0
2026-02-20,9108,78,False,,1592,10,-590.4802364041361,2,297.5622799980338
2026-02-23,9018,78,False,,1577,16,-267.8482842397839,3,178.10249152981123
2026-02-24,9018,78,False,,1586,7,-214.4674674329549,1,0.0
2026-02-25,9018,78,False,,1585,3,-78.7133980895346,1,0.0
2026-02-26,9030,78,False,,1579,15,406.4371763314062,1,0.0
2026-02-27,9108,78,False,,1602,3,189.78651495910117,1,0.0
2026-03-02,9053,78,False,,1589,11,354.495309517994,3,180.20773275661486
2026-03-03,9053,78,False,,1596,7,912.1023410087319,2,0.0
2026-03-04,9053,78,False,,1599,5,125.19305549117738,1,0.0
2026-03-05,9065,78,False,,1591,20,-16.00640686106908,2,0.0
2026-03-06,9143,78,False,,1621,1,0.0,0,0.0
2026-03-09,9065,78,False,,1603,12,-3.041386610074369,2,0.0
2026-03-10,9065,78,False,,1604,10,-218.5942551800822,1,0.0
2026-03-11,9065,78,False,,1613,7,-227.8892416897038,1,0.0
2026-03-12,9065,78,False,no_test_events,1611,0,0.0,0,0.0
2026-03-13,9143,78,False,,1615,10,-350.72697701182227,1,0.0
2026-03-16,9065,78,False,,1603,9,-26.226075992452934,2,0.0
2026-03-17,9065,78,False,,1597,2,-218.72555436128505,1,0.0
2026-03-18,9065,78,False,,1595,8,-171.3832551514265,1,0.0
2026-03-19,9065,78,False,,1588,9,259.8607642921029,1,0.0
2026-03-23,8987,78,False,,1581,12,-29.72848122540097,2,0.0
2026-03-24,8987,78,False,,1588,5,0.0,0,0.0
2026-03-25,8987,78,False,,1585,5,-426.7999959712406,2,183.69015522630798
2026-03-26,8987,78,False,,1576,4,0.0,0,0.0
2026-03-27,9065,78,False,,1584,10,0.0,0,0.0
2026-03-30,8987,78,False,,1573,9,538.8304520109805,2,0.0
2026-03-31,8987,78,False,,1579,9,0.0,0,0.0
2026-04-01,8987,78,False,,1575,10,-21.8397093403282,2,173.7483505602504
2026-04-02,8987,78,False,,1582,7,464.81115858908703,1,0.0
2026-04-06,8909,78,False,,1571,6,0.0,0,0.0
2026-04-07,8909,78,False,,1570,22,555.5263612242125,4,206.0848169690944
2026-04-08,8909,78,False,,1581,7,-145.40910935847342,3,209.91395973422914
2026-04-09,8909,78,False,,1571,14,-292.29734406397074,4,372.6831750456986
2026-04-10,8987,78,False,,1587,4,186.91858119069866,1,0.0
