combo,window,meta_threshold,primary_long,primary_short,trades_count,total_pnl_usd,max_drawdown_usd,profit_factor,win_rate,passes_constraints
m0.4_L0.33_S0.43,dec_2025_bull,0.4,0.33,0.43,28,324.764495005031,474.57219514102326,1.2162674310817008,0.5,True
m0.4_L0.33_S0.43,jan_2026_regime_shift,0.4,0.33,0.43,45,903.8807633672188,440.82958221132867,1.6096588034000654,0.5777777777777777,True
m0.4_L0.33_S0.43,feb_2026_followthrough,0.4,0.33,0.43,43,209.59052173441574,582.452905221071,1.0943329182195276,0.5348837209302325,True
m0.4_L0.33_S0.43,mar_2026_extension,0.4,0.33,0.43,35,-653.9988828366575,1138.2423348540906,0.7816236031911996,0.4857142857142857,True
m0.4_L0.33_S0.43,apr_2026_partial,0.4,0.33,0.43,14,1125.8625539523823,299.5524670327868,2.855541047697925,0.5714285714285714,True
m0.4_L0.33_S0.48,dec_2025_bull,0.4,0.33,0.48,24,398.95652537206934,425.4017352999508,1.316416715581746,0.5,True
m0.4_L0.33_S0.48,jan_2026_regime_shift,0.4,0.33,0.48,43,889.6085516107847,324.628774608449,1.6510600217804146,0.5813953488372093,True
m0.4_L0.33_S0.48,feb_2026_followthrough,0.4,0.33,0.48,41,410.0148347094026,485.71034487869474,1.2028377516779865,0.5609756097560976,True
m0.4_L0.33_S0.48,mar_2026_extension,0.4,0.33,0.48,36,-313.7537584226775,966.3944821199184,0.8969125273871426,0.4722222222222222,True
m0.4_L0.33_S0.48,apr_2026_partial,0.4,0.33,0.48,13,1229.014377343852,210.57191033322306,3.4404322852266986,0.6153846153846154,True
m0.4_L0.33_S0.53,dec_2025_bull,0.4,0.33,0.53,21,599.874706142589,554.9442652194048,1.5951802259504706,0.5238095238095238,True
m0.4_L0.33_S0.53,jan_2026_regime_shift,0.4,0.33,0.53,39,1002.5564792300679,231.73966375180316,1.8993885616193964,0.5897435897435898,True
