combo,window,meta_threshold,primary_long,primary_short,trades_count,total_pnl_usd,max_drawdown_usd,profit_factor,win_rate,passes_constraints
m0.4_L0.43_S0.43,ytd_2026_jan_apr,0.4,0.43,0.43,162,5729.802617272232,883.9081245529524,1.7771983932275073,0.5864197530864198,True
m0.45_L0.43_S0.43,ytd_2026_jan_apr,0.45,0.43,0.43,162,5729.802617272232,883.9081245529524,1.7771983932275073,0.5864197530864198,True
m0.5_L0.43_S0.43,ytd_2026_jan_apr,0.5,0.43,0.43,162,5729.802617272232,883.9081245529524,1.7771983932275073,0.5864197530864198,True
m0.4_L0.38_S0.53,ytd_2026_jan_apr,0.4,0.38,0.53,94,2249.209032318732,1154.5586421941189,1.576552009845778,0.574468085106383,True
m0.45_L0.38_S0.53,ytd_2026_jan_apr,0.45,0.38,0.53,94,2249.209032318732,1154.5586421941189,1.576552009845778,0.574468085106383,True
m0.5_L0.38_S0.53,ytd_2026_jan_apr,0.5,0.38,0.53,94,2249.209032318732,1154.5586421941189,1.576552009845778,0.574468085106383,True
m0.4_L0.33_S0.53,ytd_2026_jan_apr,0.4,0.33,0.53,89,2124.463998810398,1365.3884412606203,1.5987972425914343,0.5617977528089888,True
m0.45_L0.33_S0.53,ytd_2026_jan_apr,0.45,0.33,0.53,89,2124.463998810398,1365.3884412606203,1.5987972425914343,0.5617977528089888,True
m0.5_L0.33_S0.53,ytd_2026_jan_apr,0.5,0.33,0.53,89,2124.463998810398,1365.3884412606203,1.5987972425914343,0.5617977528089888,True
m0.4_L0.43_S0.53,ytd_2026_jan_apr,0.4,0.43,0.53,102,1924.4313729334694,1159.8238118782901,1.4339270011404341,0.5490196078431373,True
m0.45_L0.43_S0.53,ytd_2026_jan_apr,0.45,0.43,0.53,102,1924.4313729334694,1159.8238118782901,1.4339270011404341,0.5490196078431373,True
m0.5_L0.43_S0.53,ytd_2026_jan_apr,0.5,0.43,0.53,102,1924.4313729334694,1159.8238118782901,1.4339270011404341,0.5490196078431373,True
m0.4_L0.38_S0.48,ytd_2026_jan_apr,0.4,0.38,0.48,101,1837.6402399362037,1154.5586421941189,1.40810461230446,0.5643564356435643,True
m0.45_L0.38_S0.48,ytd_2026_jan_apr,0.45,0.38,0.48,101,1837.6402399362037,1154.5586421941189,1.40810461230446,0.5643564356435643,True
m0.5_L0.38_S0.48,ytd_2026_jan_apr,0.5,0.38,0.48,101,1837.6402399362037,1154.5586421941189,1.40810461230446,0.5643564356435643,True
m0.4_L0.33_S0.48,ytd_2026_jan_apr,0.4,0.33,0.48,96,1712.8952064278699,1365.3884412606203,1.4127843340875614,0.5520833333333334,True
m0.45_L0.33_S0.48,ytd_2026_jan_apr,0.45,0.33,0.48,96,1712.8952064278699,1365.3884412606203,1.4127843340875614,0.5520833333333334,True
m0.5_L0.33_S0.48,ytd_2026_jan_apr,0.5,0.33,0.48,96,1712.8952064278699,1365.3884412606203,1.4127843340875614,0.5520833333333334,True
m0.4_L0.43_S0.48,ytd_2026_jan_apr,0.4,0.43,0.48,109,1520.7027825029586,1151.9836099262684,1.3025979311498463,0.5412844036697247,True
m0.45_L0.43_S0.48,ytd_2026_jan_apr,0.45,0.43,0.48,109,1520.7027825029586,1151.9836099262684,1.3025979311498463,0.5412844036697247,True
m0.5_L0.43_S0.48,ytd_2026_jan_apr,0.5,0.43,0.48,109,1520.7027825029586,1151.9836099262684,1.3025979311498463,0.5412844036697247,True
m0.4_L0.38_S0.43,ytd_2026_jan_apr,0.4,0.38,0.43,108,1486.7027381126748,1196.997384600094,1.2900293502238345,0.5462962962962963,True
m0.45_L0.38_S0.43,ytd_2026_jan_apr,0.45,0.38,0.43,108,1486.7027381126748,1196.997384600094,1.2900293502238345,0.5462962962962963,True
m0.5_L0.38_S0.43,ytd_2026_jan_apr,0.5,0.38,0.43,108,1486.7027381126748,1196.997384600094,1.2900293502238345,0.5462962962962963,True
m0.4_L0.33_S0.43,ytd_2026_jan_apr,0.4,0.33,0.43,104,1264.4677046043414,1615.181801320774,1.2596293841808424,0.5288461538461539,True
m0.45_L0.33_S0.43,ytd_2026_jan_apr,0.45,0.33,0.43,104,1264.4677046043414,1615.181801320774,1.2596293841808424,0.5288461538461539,True
m0.5_L0.33_S0.43,ytd_2026_jan_apr,0.5,0.33,0.43,104,1264.4677046043414,1615.181801320774,1.2596293841808424,0.5288461538461539,True
