combo,window,meta_threshold,primary_long,primary_short,trades_count,total_pnl_usd,max_drawdown_usd,profit_factor,win_rate,passes_constraints
m0.4_L0.33_S0.43,ytd_2026_jan_apr,0.4,0.33,0.43,161,5809.817299171746,913.747849116211,1.7288058220388904,0.6086956521739131,True
m0.4_L0.33_S0.48,ytd_2026_jan_apr,0.4,0.33,0.48,150,5325.254038782882,997.6037797621975,1.7216021405222757,0.6066666666666667,True
m0.4_L0.33_S0.53,ytd_2026_jan_apr,0.4,0.33,0.53,98,2021.6452454071032,1183.0013633580675,1.4389608968264163,0.6020408163265306,True
m0.4_L0.38_S0.43,ytd_2026_jan_apr,0.4,0.38,0.43,156,7370.7235308192685,779.843664710359,2.063970097723066,0.6346153846153846,True
m0.4_L0.38_S0.48,ytd_2026_jan_apr,0.4,0.38,0.48,144,6992.843184839808,779.843664710359,2.122635253423918,0.6388888888888888,True
m0.4_L0.38_S0.53,ytd_2026_jan_apr,0.4,0.38,0.53,129,5545.709717151931,850.1580954111851,1.9298535574698508,0.627906976744186,True
m0.4_L0.43_S0.43,ytd_2026_jan_apr,0.4,0.43,0.43,102,1187.4948128758479,1203.4751874465,1.222945012126817,0.5784313725490197,True
m0.4_L0.43_S0.48,ytd_2026_jan_apr,0.4,0.43,0.48,100,1671.3282092704458,1164.1861421917056,1.3368717594283888,0.6,True
m0.4_L0.43_S0.53,ytd_2026_jan_apr,0.4,0.43,0.53,127,4711.886401370089,923.5832416779085,1.760674135662841,0.6141732283464567,True
m0.45_L0.33_S0.43,ytd_2026_jan_apr,0.45,0.33,0.43,161,5809.817299171746,913.747849116211,1.7288058220388904,0.6086956521739131,True
m0.45_L0.33_S0.48,ytd_2026_jan_apr,0.45,0.33,0.48,150,5325.254038782882,997.6037797621975,1.7216021405222757,0.6066666666666667,True
m0.45_L0.33_S0.53,ytd_2026_jan_apr,0.45,0.33,0.53,98,2021.6452454071032,1183.0013633580675,1.4389608968264163,0.6020408163265306,True
m0.45_L0.38_S0.43,ytd_2026_jan_apr,0.45,0.38,0.43,156,7370.7235308192685,779.843664710359,2.063970097723066,0.6346153846153846,True
m0.45_L0.38_S0.48,ytd_2026_jan_apr,0.45,0.38,0.48,144,6992.843184839808,779.843664710359,2.122635253423918,0.6388888888888888,True
m0.45_L0.38_S0.53,ytd_2026_jan_apr,0.45,0.38,0.53,129,5545.709717151931,850.1580954111851,1.9298535574698508,0.627906976744186,True
m0.45_L0.43_S0.43,ytd_2026_jan_apr,0.45,0.43,0.43,102,1187.4948128758479,1203.4751874465,1.222945012126817,0.5784313725490197,True
m0.45_L0.43_S0.48,ytd_2026_jan_apr,0.45,0.43,0.48,100,1671.3282092704458,1164.1861421917056,1.3368717594283888,0.6,True
m0.45_L0.43_S0.53,ytd_2026_jan_apr,0.45,0.43,0.53,127,4711.886401370089,923.5832416779085,1.760674135662841,0.6141732283464567,True
m0.5_L0.33_S0.43,ytd_2026_jan_apr,0.5,0.33,0.43,161,5809.817299171746,913.747849116211,1.7288058220388904,0.6086956521739131,True
m0.5_L0.33_S0.48,ytd_2026_jan_apr,0.5,0.33,0.48,150,5325.254038782882,997.6037797621975,1.7216021405222757,0.6066666666666667,True
m0.5_L0.33_S0.53,ytd_2026_jan_apr,0.5,0.33,0.53,98,2021.6452454071032,1183.0013633580675,1.4389608968264163,0.6020408163265306,True
m0.5_L0.38_S0.43,ytd_2026_jan_apr,0.5,0.38,0.43,156,7370.7235308192685,779.843664710359,2.063970097723066,0.6346153846153846,True
m0.5_L0.38_S0.48,ytd_2026_jan_apr,0.5,0.38,0.48,144,6992.843184839808,779.843664710359,2.122635253423918,0.6388888888888888,True
m0.5_L0.38_S0.53,ytd_2026_jan_apr,0.5,0.38,0.53,129,5545.709717151931,850.1580954111851,1.9298535574698508,0.627906976744186,True
m0.5_L0.43_S0.43,ytd_2026_jan_apr,0.5,0.43,0.43,102,1187.4948128758479,1203.4751874465,1.222945012126817,0.5784313725490197,True
m0.5_L0.43_S0.48,ytd_2026_jan_apr,0.5,0.43,0.48,100,1671.3282092704458,1164.1861421917056,1.3368717594283888,0.6,True
m0.5_L0.43_S0.53,ytd_2026_jan_apr,0.5,0.43,0.53,127,4711.886401370089,923.5832416779085,1.760674135662841,0.6141732283464567,True
