combo,meta_threshold,primary_long,primary_short,require_meta_for_trade,windows,total_pnl_sum,mean_pnl_per_window,max_drawdown_worst,trades_sum,mean_trades_per_window,pnl_over_mdd
m0.45_L0.31_S0.48_rm0,0.45,0.31,0.48,False,1,1442.5595975445094,1442.5595975445094,1305.7979777516375,98,98.0,1.104734133551311
m0.45_L0.31_S0.53_rm0,0.45,0.31,0.53,False,1,1854.1283899270372,1854.1283899270372,1305.7979777516375,91,91.0,1.4199197896749172
m0.45_L0.31_S0.58_rm0,0.45,0.31,0.58,False,1,1097.1989181741692,1097.1989181741692,1306.1984798749108,86,86.0,0.8399940247053751
m0.45_L0.33_S0.48_rm0,0.45,0.33,0.48,False,1,1712.8952064278699,1712.8952064278699,1365.3884412606203,96,96.0,1.25451128387055
m0.45_L0.33_S0.53_rm0,0.45,0.33,0.53,False,1,2124.463998810398,2124.463998810398,1365.3884412606203,89,89.0,1.5559411040926545
m0.45_L0.33_S0.58_rm0,0.45,0.33,0.58,False,1,1587.4683144568605,1587.4683144568605,1401.091737354458,82,82.0,1.1330223939899315
m0.45_L0.38_S0.48_rm0,0.45,0.38,0.48,False,1,1837.6402399362037,1837.6402399362037,1154.5586421941189,101,101.0,1.5916387204412235
m0.45_L0.38_S0.53_rm0,0.45,0.38,0.53,False,1,2249.209032318732,2249.209032318732,1154.5586421941189,94,94.0,1.9481115554636046
m0.45_L0.38_S0.58_rm0,0.45,0.38,0.58,False,1,2047.234899548337,2047.234899548337,1064.276537728445,95,95.0,1.9235930014184888
m0.45_L0.43_S0.48_rm0,0.45,0.43,0.48,False,1,1520.7027825029586,1520.7027825029586,1151.9836099262684,109,109.0,1.3200732800358936
m0.45_L0.43_S0.53_rm0,0.45,0.43,0.53,False,1,1924.4313729334694,1924.4313729334694,1159.8238118782901,102,102.0,1.659244579413253
m0.45_L0.43_S0.58_rm0,0.45,0.43,0.58,False,1,3775.7357341260695,3775.7357341260695,933.3444297313108,125,125.0,4.04538304815621
m0.4_L0.31_S0.48_rm0,0.4,0.31,0.48,False,1,1442.5595975445094,1442.5595975445094,1305.7979777516375,98,98.0,1.104734133551311
m0.4_L0.31_S0.53_rm0,0.4,0.31,0.53,False,1,1854.1283899270372,1854.1283899270372,1305.7979777516375,91,91.0,1.4199197896749172
m0.4_L0.31_S0.58_rm0,0.4,0.31,0.58,False,1,1097.1989181741692,1097.1989181741692,1306.1984798749108,86,86.0,0.8399940247053751
m0.4_L0.33_S0.48_rm0,0.4,0.33,0.48,False,1,1712.8952064278699,1712.8952064278699,1365.3884412606203,96,96.0,1.25451128387055
m0.4_L0.33_S0.53_rm0,0.4,0.33,0.53,False,1,2124.463998810398,2124.463998810398,1365.3884412606203,89,89.0,1.5559411040926545
m0.4_L0.33_S0.58_rm0,0.4,0.33,0.58,False,1,1587.4683144568605,1587.4683144568605,1401.091737354458,82,82.0,1.1330223939899315
m0.4_L0.38_S0.48_rm0,0.4,0.38,0.48,False,1,1837.6402399362037,1837.6402399362037,1154.5586421941189,101,101.0,1.5916387204412235
m0.4_L0.38_S0.53_rm0,0.4,0.38,0.53,False,1,2249.209032318732,2249.209032318732,1154.5586421941189,94,94.0,1.9481115554636046
m0.4_L0.38_S0.58_rm0,0.4,0.38,0.58,False,1,2047.234899548337,2047.234899548337,1064.276537728445,95,95.0,1.9235930014184888
m0.4_L0.43_S0.48_rm0,0.4,0.43,0.48,False,1,1520.7027825029586,1520.7027825029586,1151.9836099262684,109,109.0,1.3200732800358936
m0.4_L0.43_S0.53_rm0,0.4,0.43,0.53,False,1,1924.4313729334694,1924.4313729334694,1159.8238118782901,102,102.0,1.659244579413253
m0.4_L0.43_S0.58_rm0,0.4,0.43,0.58,False,1,3775.7357341260695,3775.7357341260695,933.3444297313108,125,125.0,4.04538304815621
m0.5_L0.31_S0.48_rm0,0.5,0.31,0.48,False,1,1442.5595975445094,1442.5595975445094,1305.7979777516375,98,98.0,1.104734133551311
m0.5_L0.31_S0.53_rm0,0.5,0.31,0.53,False,1,1854.1283899270372,1854.1283899270372,1305.7979777516375,91,91.0,1.4199197896749172
m0.5_L0.31_S0.58_rm0,0.5,0.31,0.58,False,1,1097.1989181741692,1097.1989181741692,1306.1984798749108,86,86.0,0.8399940247053751
m0.5_L0.33_S0.48_rm0,0.5,0.33,0.48,False,1,1712.8952064278699,1712.8952064278699,1365.3884412606203,96,96.0,1.25451128387055
m0.5_L0.33_S0.53_rm0,0.5,0.33,0.53,False,1,2124.463998810398,2124.463998810398,1365.3884412606203,89,89.0,1.5559411040926545
m0.5_L0.33_S0.58_rm0,0.5,0.33,0.58,False,1,1587.4683144568605,1587.4683144568605,1401.091737354458,82,82.0,1.1330223939899315
m0.5_L0.38_S0.48_rm0,0.5,0.38,0.48,False,1,1837.6402399362037,1837.6402399362037,1154.5586421941189,101,101.0,1.5916387204412235
m0.5_L0.38_S0.53_rm0,0.5,0.38,0.53,False,1,2249.209032318732,2249.209032318732,1154.5586421941189,94,94.0,1.9481115554636046
m0.5_L0.38_S0.58_rm0,0.5,0.38,0.58,False,1,2047.234899548337,2047.234899548337,1064.276537728445,95,95.0,1.9235930014184888
m0.5_L0.43_S0.48_rm0,0.5,0.43,0.48,False,1,1520.7027825029586,1520.7027825029586,1151.9836099262684,109,109.0,1.3200732800358936
m0.5_L0.43_S0.53_rm0,0.5,0.43,0.53,False,1,1924.4313729334694,1924.4313729334694,1159.8238118782901,102,102.0,1.659244579413253
