combo,window,meta_threshold,primary_long,primary_short,require_meta_for_trade,max_trades_per_day,trades_count,total_pnl_usd,max_drawdown_usd,profit_factor,win_rate,avg_trade_usd,passes_constraints
m0.4_L0.31_S0.48_rm0,ytd_2026_jan_apr,0.4,0.31,0.48,False,,98,1442.5595975445094,1305.7979777516375,1.3253360872627178,0.5510204081632653,14.71999589331132,True
m0.4_L0.31_S0.53_rm0,ytd_2026_jan_apr,0.4,0.31,0.53,False,,91,1854.1283899270372,1305.7979777516375,1.4838120375439139,0.5604395604395604,20.375037251945464,True
m0.4_L0.31_S0.58_rm0,ytd_2026_jan_apr,0.4,0.31,0.58,False,,86,1097.1989181741692,1306.1984798749108,1.2808202845128627,0.5232558139534884,12.758126955513596,True
m0.4_L0.33_S0.48_rm0,ytd_2026_jan_apr,0.4,0.33,0.48,False,,96,1712.8952064278699,1365.3884412606203,1.4127843340875614,0.5520833333333334,17.84265840029031,True
m0.4_L0.33_S0.53_rm0,ytd_2026_jan_apr,0.4,0.33,0.53,False,,89,2124.463998810398,1365.3884412606203,1.5987972425914343,0.5617977528089888,23.870382009105597,True
m0.4_L0.33_S0.58_rm0,ytd_2026_jan_apr,0.4,0.33,0.58,False,,82,1587.4683144568605,1401.091737354458,1.4636841090544057,0.5487804878048781,19.359369688498298,True
m0.4_L0.38_S0.48_rm0,ytd_2026_jan_apr,0.4,0.38,0.48,False,,101,1837.6402399362037,1154.5586421941189,1.40810461230446,0.5643564356435643,18.194457821150532,True
m0.4_L0.38_S0.53_rm0,ytd_2026_jan_apr,0.4,0.38,0.53,False,,94,2249.209032318732,1154.5586421941189,1.576552009845778,0.574468085106383,23.927755662965236,True
m0.4_L0.38_S0.58_rm0,ytd_2026_jan_apr,0.4,0.38,0.58,False,,95,2047.234899548337,1064.276537728445,1.4910903895988448,0.5684210526315789,21.54984104787723,True
m0.4_L0.43_S0.48_rm0,ytd_2026_jan_apr,0.4,0.43,0.48,False,,109,1520.7027825029586,1151.9836099262684,1.3025979311498463,0.5412844036697247,13.95140167433907,True
