combo,meta_threshold,primary_long,primary_short,require_meta_for_trade,windows,total_pnl_sum,mean_pnl_per_window,max_drawdown_worst,trades_sum,mean_trades_per_window,pnl_over_mdd
m0.35_L0.28_S0.43_rm1,0.35,0.28,0.43,True,1,8772.026248285458,8772.026248285458,24.989999999997963,59,59.0,351.02145851485284
m0.35_L0.28_S0.48_rm1,0.35,0.28,0.48,True,1,8772.026248285458,8772.026248285458,24.989999999997963,59,59.0,351.02145851485284
m0.45_L0.28_S0.43_rm1,0.45,0.28,0.43,True,1,8772.026248285458,8772.026248285458,24.989999999997963,59,59.0,351.02145851485284
m0.45_L0.28_S0.48_rm1,0.45,0.28,0.48,True,1,8772.026248285458,8772.026248285458,24.989999999997963,59,59.0,351.02145851485284
m0.4_L0.28_S0.43_rm1,0.4,0.28,0.43,True,1,8772.026248285458,8772.026248285458,24.989999999997963,59,59.0,351.02145851485284
m0.4_L0.28_S0.48_rm1,0.4,0.28,0.48,True,1,8772.026248285458,8772.026248285458,24.989999999997963,59,59.0,351.02145851485284
m0.55_L0.28_S0.43_rm1,0.55,0.28,0.43,True,1,8772.026248285458,8772.026248285458,24.989999999997963,59,59.0,351.02145851485284
m0.55_L0.28_S0.48_rm1,0.55,0.28,0.48,True,1,8772.026248285458,8772.026248285458,24.989999999997963,59,59.0,351.02145851485284
m0.5_L0.28_S0.43_rm1,0.5,0.28,0.43,True,1,8772.026248285458,8772.026248285458,24.989999999997963,59,59.0,351.02145851485284
m0.5_L0.28_S0.48_rm1,0.5,0.28,0.48,True,1,8772.026248285458,8772.026248285458,24.989999999997963,59,59.0,351.02145851485284
