combo,meta_threshold,primary_long,primary_short,require_meta_for_trade,windows,total_pnl_sum,mean_pnl_per_window,max_drawdown_worst,trades_sum,mean_trades_per_window,pnl_over_mdd
m0.35_L0.28_S0.43_rm0,0.35,0.28,0.43,False,1,1644.0824267059884,1644.0824267059884,1230.9826894950966,115,115.0,1.3355853341693456
m0.35_L0.28_S0.43_rm1,0.35,0.28,0.43,True,1,8772.026248285458,8772.026248285458,24.989999999997963,59,59.0,351.02145851485284
m0.35_L0.28_S0.48_rm0,0.35,0.28,0.48,False,1,1192.1609365761649,1192.1609365761649,1417.8963265046332,103,103.0,0.8407955605012771
m0.35_L0.28_S0.48_rm1,0.35,0.28,0.48,True,1,8772.026248285458,8772.026248285458,24.989999999997963,59,59.0,351.02145851485284
m0.35_L0.28_S0.53_rm0,0.35,0.28,0.53,False,1,1069.335734687181,1069.335734687181,1417.8963265046332,97,97.0,0.7541706080325943
m0.35_L0.28_S0.53_rm1,0.35,0.28,0.53,True,1,8013.238324102695,8013.238324102695,24.989999999997963,54,54.0,320.65779608256696
m0.35_L0.28_S0.58_rm0,0.35,0.28,0.58,False,1,390.656198583064,390.656198583064,1418.2968286279065,94,94.0,0.27544036671152533
m0.35_L0.28_S0.58_rm1,0.35,0.28,0.58,True,1,7044.488761342356,7044.488761342356,24.989999999997963,48,48.0,281.8923073766679
m0.35_L0.28_S0.63_rm0,0.35,0.28,0.63,False,1,45.12761454980523,45.12761454980523,1418.2968286279065,85,85.0,0.03181817348732475
m0.35_L0.28_S0.63_rm1,0.35,0.28,0.63,True,1,6625.948265671702,6625.948265671702,24.989999999997963,44,44.0,265.14398822217856
m0.35_L0.31_S0.43_rm0,0.35,0.31,0.43,False,1,1104.6551675408903,1104.6551675408903,1578.6696676910215,105,105.0,0.6997380073543633
m0.35_L0.31_S0.43_rm1,0.35,0.31,0.43,True,1,8622.033329181888,8622.033329181888,24.989999999997963,57,57.0,345.0193409036651
m0.35_L0.31_S0.48_rm0,0.35,0.31,0.48,False,1,1442.5595975445094,1442.5595975445094,1305.7979777516375,98,98.0,1.104734133551311
m0.35_L0.31_S0.48_rm1,0.35,0.31,0.48,True,1,8622.033329181888,8622.033329181888,24.989999999997963,57,57.0,345.0193409036651
m0.35_L0.31_S0.53_rm0,0.35,0.31,0.53,False,1,1854.1283899270372,1854.1283899270372,1305.7979777516375,91,91.0,1.4199197896749172
m0.35_L0.31_S0.53_rm1,0.35,0.31,0.53,True,1,7863.245404999124,7863.245404999124,24.989999999997963,52,52.0,314.65567847137913
m0.35_L0.31_S0.58_rm0,0.35,0.31,0.58,False,1,1097.1989181741692,1097.1989181741692,1306.1984798749108,86,86.0,0.8399940247053751
m0.35_L0.31_S0.58_rm1,0.35,0.31,0.58,True,1,6894.495842238787,6894.495842238787,24.989999999997963,46,46.0,275.89018976548016
m0.35_L0.31_S0.63_rm0,0.35,0.31,0.63,False,1,415.1221571097308,415.1221571097308,1306.1984798749108,76,76.0,0.3178094014850525
m0.35_L0.31_S0.63_rm1,0.35,0.31,0.63,True,1,6475.955346568131,6475.955346568131,24.989999999997963,42,42.0,259.14187061099074
m0.35_L0.33_S0.43_rm0,0.35,0.33,0.43,False,1,1264.4677046043414,1264.4677046043414,1615.181801320774,104,104.0,0.7828640116984695
m0.35_L0.33_S0.43_rm1,0.35,0.33,0.43,True,1,8130.099394301232,8130.099394301232,24.989999999997963,52,52.0,325.33410941584214
m0.35_L0.33_S0.48_rm0,0.35,0.33,0.48,False,1,1712.8952064278699,1712.8952064278699,1365.3884412606203,96,96.0,1.25451128387055
m0.35_L0.33_S0.48_rm1,0.35,0.33,0.48,True,1,8130.099394301232,8130.099394301232,24.989999999997963,52,52.0,325.33410941584214
m0.35_L0.33_S0.53_rm0,0.35,0.33,0.53,False,1,2124.463998810398,2124.463998810398,1365.3884412606203,89,89.0,1.5559411040926545
m0.35_L0.33_S0.53_rm1,0.35,0.33,0.53,True,1,7371.311470118468,7371.311470118468,24.989999999997963,47,47.0,294.97044698355614
m0.35_L0.33_S0.58_rm0,0.35,0.33,0.58,False,1,1587.4683144568605,1587.4683144568605,1401.091737354458,82,82.0,1.1330223939899315
m0.35_L0.33_S0.58_rm1,0.35,0.33,0.58,True,1,6402.561907358129,6402.561907358129,24.989999999997963,41,41.0,256.2049582776571
m0.35_L0.33_S0.63_rm0,0.35,0.33,0.63,False,1,965.0049448481798,965.0049448481798,1401.091737354458,71,71.0,0.6887521488566498
m0.35_L0.33_S0.63_rm1,0.35,0.33,0.63,True,1,5984.021411687475,5984.021411687475,24.989999999997963,37,37.0,239.45663912316778
m0.35_L0.38_S0.43_rm0,0.35,0.38,0.43,False,1,1486.7027381126748,1486.7027381126748,1196.997384600094,108,108.0,1.2420267222299477
m0.35_L0.38_S0.43_rm1,0.35,0.38,0.43,True,1,7667.833490247097,7667.833490247097,24.989999999997963,46,46.0,306.8360740395247
m0.35_L0.38_S0.48_rm0,0.35,0.38,0.48,False,1,1837.6402399362037,1837.6402399362037,1154.5586421941189,101,101.0,1.5916387204412235
m0.35_L0.38_S0.48_rm1,0.35,0.38,0.48,True,1,7667.833490247097,7667.833490247097,24.989999999997963,46,46.0,306.8360740395247
m0.35_L0.38_S0.53_rm0,0.35,0.38,0.53,False,1,2249.209032318732,2249.209032318732,1154.5586421941189,94,94.0,1.9481115554636046
m0.35_L0.38_S0.53_rm1,0.35,0.38,0.53,True,1,6909.045566064331,6909.045566064331,24.989999999997963,41,41.0,276.47241160723866
m0.35_L0.38_S0.58_rm0,0.35,0.38,0.58,False,1,2047.234899548337,2047.234899548337,1064.276537728445,95,95.0,1.9235930014184888
m0.35_L0.38_S0.58_rm1,0.35,0.38,0.58,True,1,5940.296003303994,5940.296003303994,24.989999999997963,35,35.0,237.70692290133968
m0.35_L0.38_S0.63_rm0,0.35,0.38,0.63,False,1,1468.6307575308983,1468.6307575308983,1121.3400859655521,81,81.0,1.3097103866275366
m0.35_L0.38_S0.63_rm1,0.35,0.38,0.63,True,1,5521.75550763334,5521.75550763334,24.989999999997963,31,31.0,220.95860374685034
m0.35_L0.43_S0.43_rm0,0.35,0.43,0.43,False,1,5729.802617272232,5729.802617272232,883.9081245529524,162,162.0,6.482350889319126
m0.35_L0.43_S0.43_rm1,0.35,0.43,0.43,True,1,7092.075068735165,7092.075068735165,24.989999999997963,41,41.0,283.7965213579729
m0.35_L0.43_S0.48_rm0,0.35,0.43,0.48,False,1,1520.7027825029586,1520.7027825029586,1151.9836099262684,109,109.0,1.3200732800358936
m0.35_L0.43_S0.48_rm1,0.35,0.43,0.48,True,1,7092.075068735165,7092.075068735165,24.989999999997963,41,41.0,283.7965213579729
m0.35_L0.43_S0.53_rm0,0.35,0.43,0.53,False,1,1924.4313729334694,1924.4313729334694,1159.8238118782901,102,102.0,1.659244579413253
m0.35_L0.43_S0.53_rm1,0.35,0.43,0.53,True,1,6333.287144552401,6333.287144552401,24.989999999997963,36,36.0,253.43285892568696
m0.35_L0.43_S0.58_rm0,0.35,0.43,0.58,False,1,3775.7357341260695,3775.7357341260695,933.3444297313108,125,125.0,4.04538304815621
m0.35_L0.43_S0.58_rm1,0.35,0.43,0.58,True,1,5364.537581792064,5364.537581792064,24.989999999997963,30,30.0,214.66737021978795
m0.35_L0.43_S0.63_rm0,0.35,0.43,0.63,False,1,3456.7596601162486,3456.7596601162486,790.1630073540073,105,105.0,4.374742461927932
m0.35_L0.43_S0.63_rm1,0.35,0.43,0.63,True,1,4945.997086121408,4945.997086121408,24.989999999997963,26,26.0,197.91905106529856
m0.35_L0.48_S0.43_rm0,0.35,0.48,0.43,False,1,5554.528190781335,5554.528190781335,883.9081245529524,160,160.0,6.284056042126106
m0.35_L0.48_S0.43_rm1,0.35,0.48,0.43,True,1,7092.075068735165,7092.075068735165,24.989999999997963,41,41.0,283.7965213579729
m0.35_L0.48_S0.48_rm0,0.35,0.48,0.48,False,1,1698.961271210137,1698.961271210137,1180.2437486244016,107,107.0,1.4395003347319666
m0.35_L0.48_S0.48_rm1,0.35,0.48,0.48,True,1,7092.075068735165,7092.075068735165,24.989999999997963,41,41.0,283.7965213579729
m0.35_L0.48_S0.53_rm0,0.35,0.48,0.53,False,1,4686.383809831914,4686.383809831914,1028.0939505764254,132,132.0,4.558322522182317
m0.35_L0.48_S0.53_rm1,0.35,0.48,0.53,True,1,6333.287144552401,6333.287144552401,24.989999999997963,36,36.0,253.43285892568696
m0.35_L0.48_S0.58_rm0,0.35,0.48,0.58,False,1,3912.4282293617134,3912.4282293617134,865.354568429444,120,120.0,4.5211851558864335
m0.35_L0.48_S0.58_rm1,0.35,0.48,0.58,True,1,5364.537581792064,5364.537581792064,24.989999999997963,30,30.0,214.66737021978795
m0.35_L0.48_S0.63_rm0,0.35,0.48,0.63,False,1,3594.4964186440575,3594.4964186440575,720.0738219510458,98,98.0,4.991844320773585
m0.35_L0.48_S0.63_rm1,0.35,0.48,0.63,True,1,4945.997086121408,4945.997086121408,24.989999999997963,26,26.0,197.91905106529856
m0.45_L0.28_S0.43_rm0,0.45,0.28,0.43,False,1,1644.0824267059884,1644.0824267059884,1230.9826894950966,115,115.0,1.3355853341693456
m0.45_L0.28_S0.43_rm1,0.45,0.28,0.43,True,1,8772.026248285458,8772.026248285458,24.989999999997963,59,59.0,351.02145851485284
m0.45_L0.28_S0.48_rm0,0.45,0.28,0.48,False,1,1192.1609365761649,1192.1609365761649,1417.8963265046332,103,103.0,0.8407955605012771
m0.45_L0.28_S0.48_rm1,0.45,0.28,0.48,True,1,8772.026248285458,8772.026248285458,24.989999999997963,59,59.0,351.02145851485284
m0.45_L0.28_S0.53_rm0,0.45,0.28,0.53,False,1,1069.335734687181,1069.335734687181,1417.8963265046332,97,97.0,0.7541706080325943
m0.45_L0.28_S0.53_rm1,0.45,0.28,0.53,True,1,8013.238324102695,8013.238324102695,24.989999999997963,54,54.0,320.65779608256696
m0.45_L0.28_S0.58_rm0,0.45,0.28,0.58,False,1,390.656198583064,390.656198583064,1418.2968286279065,94,94.0,0.27544036671152533
m0.45_L0.28_S0.58_rm1,0.45,0.28,0.58,True,1,7044.488761342356,7044.488761342356,24.989999999997963,48,48.0,281.8923073766679
m0.45_L0.28_S0.63_rm0,0.45,0.28,0.63,False,1,45.12761454980523,45.12761454980523,1418.2968286279065,85,85.0,0.03181817348732475
m0.45_L0.28_S0.63_rm1,0.45,0.28,0.63,True,1,6625.948265671702,6625.948265671702,24.989999999997963,44,44.0,265.14398822217856
m0.45_L0.31_S0.43_rm0,0.45,0.31,0.43,False,1,1104.6551675408903,1104.6551675408903,1578.6696676910215,105,105.0,0.6997380073543633
m0.45_L0.31_S0.43_rm1,0.45,0.31,0.43,True,1,8622.033329181888,8622.033329181888,24.989999999997963,57,57.0,345.0193409036651
m0.45_L0.31_S0.48_rm0,0.45,0.31,0.48,False,1,1442.5595975445094,1442.5595975445094,1305.7979777516375,98,98.0,1.104734133551311
m0.45_L0.31_S0.48_rm1,0.45,0.31,0.48,True,1,8622.033329181888,8622.033329181888,24.989999999997963,57,57.0,345.0193409036651
m0.45_L0.31_S0.53_rm0,0.45,0.31,0.53,False,1,1854.1283899270372,1854.1283899270372,1305.7979777516375,91,91.0,1.4199197896749172
m0.45_L0.31_S0.53_rm1,0.45,0.31,0.53,True,1,7863.245404999124,7863.245404999124,24.989999999997963,52,52.0,314.65567847137913
m0.45_L0.31_S0.58_rm0,0.45,0.31,0.58,False,1,1097.1989181741692,1097.1989181741692,1306.1984798749108,86,86.0,0.8399940247053751
m0.45_L0.31_S0.58_rm1,0.45,0.31,0.58,True,1,6894.495842238787,6894.495842238787,24.989999999997963,46,46.0,275.89018976548016
m0.45_L0.31_S0.63_rm0,0.45,0.31,0.63,False,1,415.1221571097308,415.1221571097308,1306.1984798749108,76,76.0,0.3178094014850525
m0.45_L0.31_S0.63_rm1,0.45,0.31,0.63,True,1,6475.955346568131,6475.955346568131,24.989999999997963,42,42.0,259.14187061099074
m0.45_L0.33_S0.43_rm0,0.45,0.33,0.43,False,1,1264.4677046043414,1264.4677046043414,1615.181801320774,104,104.0,0.7828640116984695
m0.45_L0.33_S0.43_rm1,0.45,0.33,0.43,True,1,8130.099394301232,8130.099394301232,24.989999999997963,52,52.0,325.33410941584214
