combo,meta_threshold,primary_long,primary_short,require_meta_for_trade,windows,total_pnl_sum,mean_pnl_per_window,max_drawdown_worst,trades_sum,mean_trades_per_window,pnl_over_mdd
m0.35_L0.28_S0.58_rm1,0.35,0.28,0.58,True,4,12900.037045742412,3225.009261435603,198.42028021292936,63,15.75,65.01370238918666
m0.35_L0.31_S0.58_rm1,0.35,0.31,0.58,True,4,13557.98646096204,3389.49661524051,663.5076385766515,72,18.0,20.433806142829745
m0.45_L0.28_S0.43_rm1,0.45,0.28,0.43,True,4,12515.314761532027,3128.8286903830067,0.0,59,14.75,
m0.45_L0.28_S0.48_rm1,0.45,0.28,0.48,True,4,12515.314761532027,3128.8286903830067,0.0,59,14.75,
m0.45_L0.28_S0.58_rm1,0.45,0.28,0.58,True,4,12779.297883429928,3194.824470857482,108.52181724910042,56,14.0,117.75786848552669
m0.45_L0.48_S0.53_rm1,0.45,0.48,0.53,True,4,13025.860200870846,3256.4650502177115,217.34124680117384,67,16.75,59.932757323266145
m0.4_L0.28_S0.43_rm1,0.4,0.28,0.43,True,4,12515.314761532027,3128.8286903830067,0.0,59,14.75,
m0.4_L0.28_S0.48_rm1,0.4,0.28,0.48,True,4,12515.314761532027,3128.8286903830067,0.0,59,14.75,
m0.4_L0.28_S0.58_rm1,0.4,0.28,0.58,True,4,12779.297883429928,3194.824470857482,108.52181724910042,56,14.0,117.75786848552669
m0.55_L0.28_S0.43_rm1,0.55,0.28,0.43,True,4,12515.314761532027,3128.8286903830067,0.0,59,14.75,
m0.55_L0.28_S0.48_rm1,0.55,0.28,0.48,True,4,12515.314761532027,3128.8286903830067,0.0,59,14.75,
m0.55_L0.28_S0.58_rm1,0.55,0.28,0.58,True,4,12779.297883429928,3194.824470857482,108.52181724910042,56,14.0,117.75786848552669
m0.55_L0.48_S0.53_rm1,0.55,0.48,0.53,True,4,13025.860200870846,3256.4650502177115,217.34124680117384,67,16.75,59.932757323266145
m0.5_L0.28_S0.43_rm1,0.5,0.28,0.43,True,4,12515.314761532027,3128.8286903830067,0.0,59,14.75,
m0.5_L0.28_S0.48_rm1,0.5,0.28,0.48,True,4,12515.314761532027,3128.8286903830067,0.0,59,14.75,
m0.5_L0.28_S0.58_rm1,0.5,0.28,0.58,True,4,12779.297883429928,3194.824470857482,108.52181724910042,56,14.0,117.75786848552669
m0.5_L0.48_S0.53_rm1,0.5,0.48,0.53,True,4,13025.860200870846,3256.4650502177115,217.34124680117384,67,16.75,59.932757323266145
