combo,meta_threshold,primary_long,primary_short,require_meta_for_trade,windows,total_pnl_sum,mean_pnl_per_window,max_drawdown_worst,trades_sum,mean_trades_per_window,pnl_over_mdd
m0.35_L0.28_S0.43_rm0,0.35,0.28,0.43,False,4,-4403.543208897033,-1100.8858022242582,1625.6194597799185,182,45.5,-2.7088401177808232
m0.35_L0.28_S0.43_rm1,0.35,0.28,0.43,True,4,12331.399774524081,3082.8499436310203,163.00337235367624,63,15.75,75.65119418368873
m0.35_L0.28_S0.48_rm0,0.35,0.28,0.48,False,4,3028.0391457875294,757.0097864468823,1625.6194597799185,351,87.75,1.8626986331705668
m0.35_L0.28_S0.48_rm1,0.35,0.28,0.48,True,4,12331.399774524081,3082.8499436310203,163.00337235367624,63,15.75,75.65119418368873
m0.35_L0.28_S0.53_rm0,0.35,0.28,0.53,False,4,2447.0215652951174,611.7553913237793,1621.419638423824,293,73.25,1.509184610391088
m0.35_L0.28_S0.53_rm1,0.35,0.28,0.53,True,4,12327.679985365723,3081.9199963414308,163.00337235367624,63,15.75,75.6283738634423
m0.35_L0.28_S0.58_rm0,0.35,0.28,0.58,False,4,4528.2775566995215,1132.0693891748804,1633.6407902406572,361,90.25,2.771893052469904
m0.35_L0.28_S0.58_rm1,0.35,0.28,0.58,True,4,12900.037045742412,3225.009261435603,198.42028021292936,63,15.75,65.01370238918666
m0.35_L0.28_S0.63_rm0,0.35,0.28,0.63,False,4,2246.123474844805,561.5308687112013,1595.621430657011,326,81.5,1.4076794355412638
m0.35_L0.28_S0.63_rm1,0.35,0.28,0.63,True,4,12073.918254316377,3018.4795635790942,297.91316975885275,60,15.0,40.52831321317439
m0.35_L0.31_S0.43_rm0,0.35,0.31,0.43,False,4,-673.2455598496504,-168.3113899624126,1644.6690262595293,257,64.25,-0.4093501787291591
m0.35_L0.31_S0.43_rm1,0.35,0.31,0.43,True,4,13001.3089363747,3250.327234093675,663.5076385766515,72,18.0,19.59481425754939
m0.35_L0.31_S0.48_rm0,0.35,0.31,0.48,False,4,1087.9119347582575,271.9779836895644,1606.0008024965427,252,63.0,0.677404353140477
m0.35_L0.31_S0.48_rm1,0.35,0.31,0.48,True,4,13001.3089363747,3250.327234093675,663.5076385766515,72,18.0,19.59481425754939
m0.35_L0.31_S0.53_rm0,0.35,0.31,0.53,False,4,2298.152941140982,574.5382352852455,1694.9044259614966,299,74.75,1.3559188978088075
m0.35_L0.31_S0.53_rm1,0.35,0.31,0.53,True,4,13023.937576417298,3255.9843941043246,663.5076385766515,71,17.75,19.628918823536214
m0.35_L0.31_S0.58_rm0,0.35,0.31,0.58,False,4,5386.120651074322,1346.5301627685806,1694.9044259614966,374,93.5,3.1778314862909443
m0.35_L0.31_S0.58_rm1,0.35,0.31,0.58,True,4,13557.98646096204,3389.49661524051,663.5076385766515,72,18.0,20.433806142829745
m0.35_L0.31_S0.63_rm0,0.35,0.31,0.63,False,4,2098.8786107111946,524.7196526777986,1635.7078639781685,314,78.5,1.2831622668894915
m0.35_L0.31_S0.63_rm1,0.35,0.31,0.63,True,4,12534.287440124639,3133.5718600311598,663.5076385766515,68,17.0,18.89094670712916
m0.35_L0.33_S0.43_rm0,0.35,0.33,0.43,False,4,-473.096866103258,-118.2742165258145,1831.4744051496746,258,64.5,-0.25831475710117546
m0.35_L0.33_S0.43_rm1,0.35,0.33,0.43,True,4,12221.188429633665,3055.297107408416,663.5076385766515,75,18.75,18.41906214651938
m0.35_L0.33_S0.48_rm0,0.35,0.33,0.48,False,4,1028.3347321850752,257.0836830462688,1669.6128402394752,252,63.0,0.6159120889592461
m0.35_L0.33_S0.48_rm1,0.35,0.33,0.48,True,4,12221.188429633665,3055.297107408416,663.5076385766515,75,18.75,18.41906214651938
m0.35_L0.33_S0.53_rm0,0.35,0.33,0.53,False,4,2457.3689531706978,614.3422382926744,1667.9398485112542,311,77.75,1.4732959077415537
m0.35_L0.33_S0.53_rm1,0.35,0.33,0.53,True,4,12131.2492142064,3032.8123035516,663.5076385766515,77,19.25,18.283511008600005
m0.35_L0.33_S0.58_rm0,0.35,0.33,0.58,False,4,4935.906784717767,1233.9766961794417,1602.2307943381456,330,82.5,3.0806465598838435
m0.35_L0.33_S0.58_rm1,0.35,0.33,0.58,True,4,12648.041902721287,3162.0104756803216,663.5076385766515,75,18.75,19.062390796063344
m0.35_L0.33_S0.63_rm0,0.35,0.33,0.63,False,4,5216.889735028566,1304.2224337571415,1668.8459826727194,351,87.75,3.1260462554330637
m0.35_L0.33_S0.63_rm1,0.35,0.33,0.63,True,4,12489.545298245706,3122.3863245614266,663.5076385766515,75,18.75,18.82351396140386
m0.35_L0.38_S0.43_rm0,0.35,0.38,0.43,False,4,134.60152075877568,33.65038018969392,1908.4994386119724,256,64.0,0.07052740914436405
m0.35_L0.38_S0.43_rm1,0.35,0.38,0.43,True,4,12271.233515963191,3067.808378990798,663.5076385766515,78,19.5,18.49448718071625
m0.35_L0.38_S0.48_rm0,0.35,0.38,0.48,False,4,994.1779598828739,248.54448997071847,1769.4779194924195,227,56.75,0.5618481863667771
m0.35_L0.38_S0.48_rm1,0.35,0.38,0.48,True,4,12271.233515963191,3067.808378990798,663.5076385766515,78,19.5,18.49448718071625
m0.35_L0.38_S0.53_rm0,0.35,0.38,0.53,False,4,4994.091641519168,1248.522910379792,1625.7871082805068,225,56.25,3.071799263312591
m0.35_L0.38_S0.53_rm1,0.35,0.38,0.53,True,4,12409.894852543515,3102.473713135879,663.5076385766515,78,19.5,18.703469456907943
m0.35_L0.38_S0.58_rm0,0.35,0.38,0.58,False,4,5805.306312209086,1451.3265780522715,1658.4060148615536,275,68.75,3.5005338018469034
m0.35_L0.38_S0.58_rm1,0.35,0.38,0.58,True,4,12790.684670536428,3197.671167634107,663.5076385766515,75,18.75,19.27737365311249
m0.35_L0.38_S0.63_rm0,0.35,0.38,0.63,False,4,7614.217034236789,1903.5542585591973,1607.2581603026483,262,65.5,4.737395162954422
m0.35_L0.38_S0.63_rm1,0.35,0.38,0.63,True,4,12753.656779255063,3188.414194813766,663.5076385766515,74,18.5,19.221567375793974
m0.35_L0.43_S0.43_rm0,0.35,0.43,0.43,False,4,-298.7093582342691,-74.67733955856727,1769.4779194924195,203,50.75,-0.16881214223908192
m0.35_L0.43_S0.43_rm1,0.35,0.43,0.43,True,4,12623.820443682065,3155.9551109205163,663.5076385766515,77,19.25,19.02588562621906
m0.35_L0.43_S0.48_rm0,0.35,0.43,0.48,False,4,267.1601789236993,66.79004473092482,1769.4779194924195,174,43.5,0.1509824881004082
m0.35_L0.43_S0.48_rm1,0.35,0.43,0.48,True,4,12623.820443682065,3155.9551109205163,663.5076385766515,77,19.25,19.02588562621906
m0.35_L0.43_S0.53_rm0,0.35,0.43,0.53,False,4,4669.434287890244,1167.358571972561,1598.5542266972843,204,51.0,2.9210359022587524
m0.35_L0.43_S0.53_rm1,0.35,0.43,0.53,True,4,12288.080324121054,3072.0200810302636,663.5076385766515,74,18.5,18.51987770703182
m0.35_L0.43_S0.58_rm0,0.35,0.43,0.58,False,4,5933.591038427079,1483.3977596067698,1565.664277390213,252,63.0,3.789823351093959
m0.35_L0.43_S0.58_rm1,0.35,0.43,0.58,True,4,12543.561724934789,3135.890431233697,663.5076385766515,77,19.25,18.904924368079747
m0.35_L0.43_S0.63_rm0,0.35,0.43,0.63,False,4,5979.004114127345,1494.7510285318363,1619.5019156344788,221,55.25,3.691878383351542
m0.35_L0.43_S0.63_rm1,0.35,0.43,0.63,True,4,12922.307478377264,3230.576869594316,663.5076385766515,76,19.0,19.475747869456395
m0.35_L0.48_S0.43_rm0,0.35,0.48,0.43,False,4,-908.7069645733554,-227.17674114333886,1583.9815191195594,180,45.0,-0.573685332565276
m0.35_L0.48_S0.43_rm1,0.35,0.48,0.43,True,4,12887.289971652908,3221.822492913227,663.5076385766515,79,19.75,19.42297152644477
m0.35_L0.48_S0.48_rm0,0.35,0.48,0.48,False,4,-165.08782658505106,-41.271956646262765,1876.6778737017667,174,43.5,-0.08796812116690735
m0.35_L0.48_S0.48_rm1,0.35,0.48,0.48,True,4,12887.289971652908,3221.822492913227,663.5076385766515,79,19.75,19.42297152644477
m0.35_L0.48_S0.53_rm0,0.35,0.48,0.53,False,4,3385.9935005552147,846.4983751388037,1884.3421697386439,199,49.75,1.796910112681312
m0.35_L0.48_S0.53_rm1,0.35,0.48,0.53,True,4,12997.273734429355,3249.3184336073386,663.5076385766515,78,19.5,19.588732636614324
m0.35_L0.48_S0.58_rm0,0.35,0.48,0.58,False,4,1827.3201437762277,456.83003594405693,1626.6075298224532,194,48.5,1.1233933879401643
m0.35_L0.48_S0.58_rm1,0.35,0.48,0.58,True,4,12405.319928204422,3101.3299820511056,663.5076385766515,80,20.0,18.696574397871537
m0.35_L0.48_S0.63_rm0,0.35,0.48,0.63,False,4,3637.6948734232883,909.4237183558221,1626.208174757172,187,46.75,2.236918329331652
m0.35_L0.48_S0.63_rm1,0.35,0.48,0.63,True,4,12813.217279878816,3203.304319969704,663.5076385766515,75,18.75,19.311333487230943
m0.45_L0.28_S0.43_rm0,0.45,0.28,0.43,False,4,-4403.543208897033,-1100.8858022242582,1625.6194597799185,182,45.5,-2.7088401177808232
m0.45_L0.28_S0.43_rm1,0.45,0.28,0.43,True,4,12515.314761532027,3128.8286903830067,0.0,59,14.75,
m0.45_L0.28_S0.48_rm0,0.45,0.28,0.48,False,4,3107.7139538747615,776.9284884686904,1625.6194597799185,348,87.0,1.911710600644196
m0.45_L0.28_S0.48_rm1,0.45,0.28,0.48,True,4,12515.314761532027,3128.8286903830067,0.0,59,14.75,
m0.45_L0.28_S0.53_rm0,0.45,0.28,0.53,False,4,2626.6376966337693,656.6594241584423,1770.645341611089,291,72.75,1.4834352396306667
m0.45_L0.28_S0.53_rm1,0.45,0.28,0.53,True,4,12324.329284929026,3081.0823212322566,0.0,57,14.25,
m0.45_L0.28_S0.58_rm0,0.45,0.28,0.58,False,4,4756.907961985168,1189.226990496292,1586.365392875232,356,89.0,2.998620609948783
m0.45_L0.28_S0.58_rm1,0.45,0.28,0.58,True,4,12779.297883429928,3194.824470857482,108.52181724910042,56,14.0,117.75786848552669
m0.45_L0.28_S0.63_rm0,0.45,0.28,0.63,False,4,2425.739606183457,606.4349015458642,1770.645341611089,324,81.0,1.3699748612425713
m0.45_L0.28_S0.63_rm1,0.45,0.28,0.63,True,4,12160.653745358852,3040.163436339713,108.52181724910042,55,13.75,112.05722548347444
m0.45_L0.31_S0.43_rm0,0.45,0.31,0.43,False,4,-581.883238566023,-145.47080964150575,1644.6690262595293,256,64.0,-0.35379959692522456
m0.45_L0.31_S0.43_rm1,0.45,0.31,0.43,True,4,12429.723200438873,3107.4308001097183,217.34124680117384,64,16.0,57.189895536992665
m0.45_L0.31_S0.48_rm0,0.45,0.31,0.48,False,4,1179.2742560418849,294.8185640104712,1606.0008024965427,251,62.75,0.7342924450652156
m0.45_L0.31_S0.48_rm1,0.45,0.31,0.48,True,4,12429.723200438873,3107.4308001097183,217.34124680117384,64,16.0,57.189895536992665
m0.45_L0.31_S0.53_rm0,0.45,0.31,0.53,False,4,2690.1669688150982,672.5417422037746,1667.9398485112542,296,74.0,1.6128680966620281
m0.45_L0.31_S0.53_rm1,0.45,0.31,0.53,True,4,12265.08615303683,3066.2715382592073,217.34124680117384,61,15.25,56.43239069230639
m0.45_L0.31_S0.58_rm0,0.45,0.31,0.58,False,4,5693.924224815938,1423.4810562039845,1665.3044815188186,363,90.75,3.4191490433166134
m0.45_L0.31_S0.58_rm1,0.45,0.31,0.58,True,4,12681.746575705783,3170.436643926446,217.34124680117384,61,15.25,58.34947007231989
m0.45_L0.31_S0.63_rm0,0.45,0.31,0.63,False,4,2423.3926383853113,605.8481595963278,1635.7078639781685,311,77.75,1.48155590112004
m0.45_L0.31_S0.63_rm1,0.45,0.31,0.63,True,4,12174.398731948077,3043.599682987019,217.34124680117384,60,15.0,56.01513247545391
m0.45_L0.33_S0.43_rm0,0.45,0.33,0.43,False,4,-666.7545448196311,-166.68863620490777,1831.4744051496746,256,64.0,-0.3640534330946009
m0.45_L0.33_S0.43_rm1,0.45,0.33,0.43,True,4,12373.374190214707,3093.3435475536767,217.34124680117384,64,16.0,56.9306303903465
m0.45_L0.33_S0.48_rm0,0.45,0.33,0.48,False,4,1119.697053468702,279.9242633671755,1669.6128402394752,251,62.75,0.6706327517869964
m0.45_L0.33_S0.48_rm1,0.45,0.33,0.48,True,4,12373.374190214707,3093.3435475536767,217.34124680117384,64,16.0,56.9306303903465
m0.45_L0.33_S0.53_rm0,0.45,0.33,0.53,False,4,2510.942771614756,627.735692903689,1667.9398485112542,295,73.75,1.5054156622350243
m0.45_L0.33_S0.53_rm1,0.45,0.33,0.53,True,4,12160.019141413975,3040.004785353494,217.34124680117384,64,16.0,55.94897112437242
m0.45_L0.33_S0.58_rm0,0.45,0.33,0.58,False,4,5105.400812391882,1276.3502030979705,1620.1308498954677,326,81.5,3.151227453462347
m0.45_L0.33_S0.58_rm1,0.45,0.33,0.58,True,4,12568.655862270181,3142.1639655675453,217.34124680117384,63,15.75,57.82913297524296
m0.45_L0.33_S0.63_rm0,0.45,0.33,0.63,False,4,5484.645250362759,1371.1613125906897,1631.47199729133,342,85.5,3.3617771310011473
m0.45_L0.33_S0.63_rm1,0.45,0.33,0.63,True,4,12549.324159449472,3137.331039862368,217.34124680117384,66,16.5,57.740186661070055
m0.45_L0.38_S0.43_rm0,0.45,0.38,0.43,False,4,-64.36055986296606,-16.090139965741514,1908.4994386119724,254,63.5,-0.03372312223983397
m0.45_L0.38_S0.43_rm1,0.45,0.38,0.43,True,4,12295.474014458268,3073.868503614567,217.34124680117384,66,16.5,56.572207049618626
m0.45_L0.38_S0.48_rm0,0.45,0.38,0.48,False,4,1085.5402811665003,271.3850702916251,1769.4779194924195,226,56.5,0.6134805465545968
m0.45_L0.38_S0.48_rm1,0.45,0.38,0.48,True,4,12295.474014458268,3073.868503614567,217.34124680117384,66,16.5,56.572207049618626
m0.45_L0.38_S0.53_rm0,0.45,0.38,0.53,False,4,5292.300788922497,1323.0751972306243,1625.7871082805068,223,55.75,3.255223738684847
m0.45_L0.38_S0.53_rm1,0.45,0.38,0.53,True,4,12448.130182368954,3112.0325455922384,217.34124680117384,67,16.75,57.27458715536237
m0.45_L0.38_S0.58_rm0,0.45,0.38,0.58,False,4,6194.743223623282,1548.6858059058204,1660.9831311214803,275,68.75,3.729564200595252
m0.45_L0.38_S0.58_rm1,0.45,0.38,0.58,True,4,12587.406641349127,3146.851660337282,217.34124680117384,65,16.25,57.91540642473734
m0.45_L0.38_S0.63_rm0,0.45,0.38,0.63,False,4,7722.319805730126,1930.5799514325315,1607.2581603026483,256,64.0,4.804654284210326
m0.45_L0.38_S0.63_rm1,0.45,0.38,0.63,True,4,12708.835266091139,3177.2088165227847,217.34124680117384,65,16.25,58.47410674752096
m0.45_L0.43_S0.43_rm0,0.45,0.43,0.43,False,4,-443.49763456720984,-110.87440864180246,1769.4779194924195,197,49.25,-0.25063756358962
m0.45_L0.43_S0.43_rm1,0.45,0.43,0.43,True,4,12466.91744448505,3116.7293611212626,217.34124680117384,65,16.25,57.36102846548002
m0.45_L0.43_S0.48_rm0,0.45,0.43,0.48,False,4,281.5304592976754,70.38261482441885,1769.4779194924195,170,42.5,0.15910368600611494
m0.45_L0.43_S0.48_rm1,0.45,0.43,0.48,True,4,12466.91744448505,3116.7293611212626,217.34124680117384,65,16.25,57.36102846548002
m0.45_L0.43_S0.53_rm0,0.45,0.43,0.53,False,4,4890.651394383924,1222.662848595981,1598.5542266972843,199,49.75,3.0594216403207812
m0.45_L0.43_S0.53_rm1,0.45,0.43,0.53,True,4,12110.000430287602,3027.5001075719006,217.34124680117384,64,16.0,55.718832060285195
m0.45_L0.43_S0.58_rm0,0.45,0.43,0.58,False,4,8091.521901496011,2022.8804753740028,1472.7225630027388,212,53.0,5.494260836880357
m0.45_L0.43_S0.58_rm1,0.45,0.43,0.58,True,4,12390.137731994673,3097.5344329986683,217.34124680117384,61,15.25,57.00776044286388
m0.45_L0.43_S0.63_rm0,0.45,0.43,0.63,False,4,8010.068696806489,2002.5171742016223,1619.5019156344788,197,49.25,4.946007546813152
m0.45_L0.43_S0.63_rm1,0.45,0.43,0.63,True,4,12572.202543629957,3143.0506359074893,217.34124680117384,65,16.25,57.845451467070795
m0.45_L0.48_S0.43_rm0,0.45,0.48,0.43,False,4,-891.2679839791635,-222.8169959947909,1583.9815191195594,177,44.25,-0.5626757466681594
m0.45_L0.48_S0.43_rm1,0.45,0.48,0.43,True,4,12641.518984833354,3160.3797462083385,217.34124680117384,68,17.0,58.16438053471716
m0.45_L0.48_S0.48_rm0,0.45,0.48,0.48,False,4,-67.21931683258708,-16.80482920814677,1876.6778737017667,169,42.25,-0.03581824977772892
m0.45_L0.48_S0.48_rm1,0.45,0.48,0.48,True,4,12641.518984833354,3160.3797462083385,217.34124680117384,68,17.0,58.16438053471716
m0.45_L0.48_S0.53_rm0,0.45,0.48,0.53,False,4,3574.4101122532884,893.6025280633221,1884.3421697386439,182,45.5,1.8969007697519475
m0.45_L0.48_S0.53_rm1,0.45,0.48,0.53,True,4,13025.860200870846,3256.4650502177115,217.34124680117384,67,16.75,59.932757323266145
m0.45_L0.48_S0.58_rm0,0.45,0.48,0.58,False,4,3629.144068974969,907.2860172437422,1626.6075298224532,174,43.5,2.23111230117759
m0.45_L0.48_S0.58_rm1,0.45,0.48,0.58,True,4,12558.892837204832,3139.723209301208,217.34124680117384,66,16.5,57.78421271639177
m0.45_L0.48_S0.63_rm0,0.45,0.48,0.63,False,4,3667.650436984932,916.912609246233,1626.208174757172,176,44.0,2.2553388267972467
m0.45_L0.48_S0.63_rm1,0.45,0.48,0.63,True,4,12856.887298291875,3214.2218245729687,217.34124680117384,66,16.5,59.15530295109375
m0.4_L0.28_S0.43_rm0,0.4,0.28,0.43,False,4,-4403.543208897033,-1100.8858022242582,1625.6194597799185,182,45.5,-2.7088401177808232
m0.4_L0.28_S0.43_rm1,0.4,0.28,0.43,True,4,12515.314761532027,3128.8286903830067,0.0,59,14.75,
m0.4_L0.28_S0.48_rm0,0.4,0.28,0.48,False,4,3107.7139538747615,776.9284884686904,1625.6194597799185,348,87.0,1.911710600644196
m0.4_L0.28_S0.48_rm1,0.4,0.28,0.48,True,4,12515.314761532027,3128.8286903830067,0.0,59,14.75,
m0.4_L0.28_S0.53_rm0,0.4,0.28,0.53,False,4,2626.6376966337693,656.6594241584423,1770.645341611089,291,72.75,1.4834352396306667
m0.4_L0.28_S0.53_rm1,0.4,0.28,0.53,True,4,12324.329284929026,3081.0823212322566,0.0,57,14.25,
m0.4_L0.28_S0.58_rm0,0.4,0.28,0.58,False,4,4756.907961985168,1189.226990496292,1586.365392875232,356,89.0,2.998620609948783
m0.4_L0.28_S0.58_rm1,0.4,0.28,0.58,True,4,12779.297883429928,3194.824470857482,108.52181724910042,56,14.0,117.75786848552669
m0.4_L0.28_S0.63_rm0,0.4,0.28,0.63,False,4,2425.739606183457,606.4349015458642,1770.645341611089,324,81.0,1.3699748612425713
m0.4_L0.28_S0.63_rm1,0.4,0.28,0.63,True,4,12160.653745358852,3040.163436339713,108.52181724910042,55,13.75,112.05722548347444
m0.4_L0.31_S0.43_rm0,0.4,0.31,0.43,False,4,-581.883238566023,-145.47080964150575,1644.6690262595293,256,64.0,-0.35379959692522456
m0.4_L0.31_S0.43_rm1,0.4,0.31,0.43,True,4,12497.050749502348,3124.262687375587,456.6608124569466,66,16.5,27.366155379668264
m0.4_L0.31_S0.48_rm0,0.4,0.31,0.48,False,4,1179.2742560418849,294.8185640104712,1606.0008024965427,251,62.75,0.7342924450652156
m0.4_L0.31_S0.48_rm1,0.4,0.31,0.48,True,4,12497.050749502348,3124.262687375587,456.6608124569466,66,16.5,27.366155379668264
m0.4_L0.31_S0.53_rm0,0.4,0.31,0.53,False,4,2690.1669688150982,672.5417422037746,1667.9398485112542,296,74.0,1.6128680966620281
m0.4_L0.31_S0.53_rm1,0.4,0.31,0.53,True,4,12332.413702100304,3083.103425525076,456.6608124569466,63,15.75,27.005631676054946
m0.4_L0.31_S0.58_rm0,0.4,0.31,0.58,False,4,5693.924224815938,1423.4810562039845,1665.3044815188186,363,90.75,3.4191490433166134
m0.4_L0.31_S0.58_rm1,0.4,0.31,0.58,True,4,12749.07412476926,3187.268531192315,456.6608124569466,63,15.75,27.91803845873293
m0.4_L0.31_S0.63_rm0,0.4,0.31,0.63,False,4,2423.3926383853113,605.8481595963278,1635.7078639781685,311,77.75,1.48155590112004
m0.4_L0.31_S0.63_rm1,0.4,0.31,0.63,True,4,12827.869757286819,3206.9674393217047,456.6608124569466,62,15.5,28.090585851388802
m0.4_L0.33_S0.43_rm0,0.4,0.33,0.43,False,4,-666.7545448196311,-166.68863620490777,1831.4744051496746,256,64.0,-0.3640534330946009
m0.4_L0.33_S0.43_rm1,0.4,0.33,0.43,True,4,12331.011054192453,3082.7527635481133,456.6608124569466,67,16.75,27.00256014491063
m0.4_L0.33_S0.48_rm0,0.4,0.33,0.48,False,4,1119.697053468702,279.9242633671755,1669.6128402394752,251,62.75,0.6706327517869964
m0.4_L0.33_S0.48_rm1,0.4,0.33,0.48,True,4,12331.011054192453,3082.7527635481133,456.6608124569466,67,16.75,27.00256014491063
m0.4_L0.33_S0.53_rm0,0.4,0.33,0.53,False,4,2510.942771614756,627.735692903689,1667.9398485112542,295,73.75,1.5054156622350243
m0.4_L0.33_S0.53_rm1,0.4,0.33,0.53,True,4,12113.001836577545,3028.2504591443862,456.6608124569466,67,16.75,26.525161577597693
m0.4_L0.33_S0.58_rm0,0.4,0.33,0.58,False,4,5105.400812391882,1276.3502030979705,1620.1308498954677,326,81.5,3.151227453462347
m0.4_L0.33_S0.58_rm1,0.4,0.33,0.58,True,4,12574.600765049494,3143.6501912623735,456.6608124569466,67,16.75,27.535975108954663
m0.4_L0.33_S0.63_rm0,0.4,0.33,0.63,False,4,5484.645250362759,1371.1613125906897,1631.47199729133,342,85.5,3.3617771310011473
m0.4_L0.33_S0.63_rm1,0.4,0.33,0.63,True,4,12489.522817209403,3122.3807043023508,456.6608124569466,68,17.0,27.349670645074017
m0.4_L0.38_S0.43_rm0,0.4,0.38,0.43,False,4,-64.36055986296606,-16.090139965741514,1908.4994386119724,254,63.5,-0.03372312223983397
m0.4_L0.38_S0.43_rm1,0.4,0.38,0.43,True,4,12350.910587062408,3087.727646765602,456.6608124569466,70,17.5,27.04613632295597
m0.4_L0.38_S0.48_rm0,0.4,0.38,0.48,False,4,1085.5402811665003,271.3850702916251,1769.4779194924195,226,56.5,0.6134805465545968
m0.4_L0.38_S0.48_rm1,0.4,0.38,0.48,True,4,12350.910587062408,3087.727646765602,456.6608124569466,70,17.5,27.04613632295597
m0.4_L0.38_S0.53_rm0,0.4,0.38,0.53,False,4,5292.300788922497,1323.0751972306243,1625.7871082805068,223,55.75,3.255223738684847
m0.4_L0.38_S0.53_rm1,0.4,0.38,0.53,True,4,12462.119407378686,3115.5298518446716,456.6608124569466,70,17.5,27.289662409019602
m0.4_L0.38_S0.58_rm0,0.4,0.38,0.58,False,4,6197.320339883203,1549.3300849708007,1658.4060148615536,272,68.0,3.7369138102170747
m0.4_L0.38_S0.58_rm1,0.4,0.38,0.58,True,4,12527.605299109058,3131.9013247772646,456.6608124569466,67,16.75,27.43306401026067
m0.4_L0.38_S0.63_rm0,0.4,0.38,0.63,False,4,7722.319805730126,1930.5799514325315,1607.2581603026483,256,64.0,4.804654284210326
m0.4_L0.38_S0.63_rm1,0.4,0.38,0.63,True,4,12642.0375389468,3160.5093847367,456.6608124569466,67,16.75,27.683648769706238
m0.4_L0.43_S0.43_rm0,0.4,0.43,0.43,False,4,-443.49763456720984,-110.87440864180246,1769.4779194924195,197,49.25,-0.25063756358962
m0.4_L0.43_S0.43_rm1,0.4,0.43,0.43,True,4,12590.860546935355,3147.715136733839,456.6608124569466,69,17.25,27.571580927195075
m0.4_L0.43_S0.48_rm0,0.4,0.43,0.48,False,4,281.5304592976754,70.38261482441885,1769.4779194924195,170,42.5,0.15910368600611494
m0.4_L0.43_S0.48_rm1,0.4,0.43,0.48,True,4,12590.860546935355,3147.715136733839,456.6608124569466,69,17.25,27.571580927195075
m0.4_L0.43_S0.53_rm0,0.4,0.43,0.53,False,4,4890.651394383924,1222.662848595981,1598.5542266972843,199,49.75,3.0594216403207812
m0.4_L0.43_S0.53_rm1,0.4,0.43,0.53,True,4,12240.717287718524,3060.179321929631,456.6608124569466,67,16.75,26.804834033952854
m0.4_L0.43_S0.58_rm0,0.4,0.43,0.58,False,4,8091.521901496011,2022.8804753740028,1472.7225630027388,212,53.0,5.494260836880357
m0.4_L0.43_S0.58_rm1,0.4,0.43,0.58,True,4,12375.708300368917,3093.927075092229,456.6608124569466,63,15.75,27.100438581065422
m0.4_L0.43_S0.63_rm0,0.4,0.43,0.63,False,4,8010.068696806489,2002.5171742016223,1619.5019156344788,197,49.25,4.946007546813152
