combo,window,meta_threshold,primary_long,primary_short,require_meta_for_trade,max_trades_per_day,trades_count,total_pnl_usd,max_drawdown_usd,profit_factor,win_rate,avg_trade_usd,passes_constraints
m0.35_L0.28_S0.43_rm0,y2022,0.35,0.28,0.43,False,,36,-1305.4268048048034,1601.1804065614851,0.7118008016025575,0.4166666666666667,-36.26185568902232,True
m0.35_L0.28_S0.43_rm0,y2023,0.35,0.28,0.43,False,,58,-297.31741411830654,1625.6194597799185,0.9414365711182592,0.46551724137931033,-5.126162312384595,True
m0.35_L0.28_S0.43_rm0,y2024,0.35,0.28,0.43,False,,70,-1261.3075205944406,1598.2998818691995,0.7652558319724005,0.4714285714285714,-18.018678865634865,True
m0.35_L0.28_S0.43_rm0,y2025_ytd,0.35,0.28,0.43,False,,18,-1539.4914693794826,1574.7458976458147,0.5351738829393081,0.3888888888888889,-85.5273038544157,True
m0.35_L0.28_S0.43_rm1,y2022,0.35,0.28,0.43,True,,14,3069.6332932200103,0.0,,1.0,219.25952094428644,True
m0.35_L0.28_S0.43_rm1,y2023,0.35,0.28,0.43,True,,17,3171.0571486945073,0.0,,1.0,186.53277345261807,True
m0.35_L0.28_S0.43_rm1,y2024,0.35,0.28,0.43,True,,24,3059.160739606043,163.00337235367624,8.526814465769009,0.875,127.46503081691846,True
m0.35_L0.28_S0.43_rm1,y2025_ytd,0.35,0.28,0.43,True,,8,3031.548593003521,0.0,,1.0,378.94357412544014,False
m0.35_L0.28_S0.48_rm0,y2022,0.35,0.28,0.48,False,,33,-1247.408769183447,1553.919638423824,0.7067521292360245,0.42424242424242425,-37.800265732831726,True
m0.35_L0.28_S0.48_rm0,y2023,0.35,0.28,0.48,False,,54,445.2784519745344,1625.6194597799185,1.1027348689691543,0.5,8.245897258787673,True
m0.35_L0.28_S0.48_rm0,y2024,0.35,0.28,0.48,False,,180,723.5393534696165,1575.893530934496,1.054468314832395,0.4777777777777778,4.019663074831202,True
m0.35_L0.28_S0.48_rm0,y2025_ytd,0.35,0.28,0.48,False,,84,3106.6301095268254,1492.1897116257605,1.4511587253992941,0.5595238095238095,36.98369178008126,True
