combo,meta_threshold,primary_long,primary_short,require_meta_for_trade,windows,total_pnl_sum,mean_pnl_per_window,max_drawdown_worst,trades_sum,mean_trades_per_window,pnl_over_mdd
m0.35_L0.28_S0.53_rm1,0.35,0.28,0.53,True,1,3392.948226270162,3392.948226270162,49.9800000000032,16,16.0,67.88611897298809
m0.35_L0.28_S0.58_rm1,0.35,0.28,0.58,True,1,3303.069137436475,3303.069137436475,49.9800000000032,14,14.0,66.08781787587561
m0.35_L0.28_S0.63_rm1,0.35,0.28,0.63,True,1,3250.6118113946804,3250.6118113946804,49.9800000000032,14,14.0,65.03825152850085
m0.35_L0.31_S0.53_rm1,0.35,0.31,0.53,True,1,3009.4296512117876,3009.4296512117876,49.9800000000032,15,15.0,60.21267809547008
m0.35_L0.31_S0.58_rm1,0.35,0.31,0.58,True,1,3338.069137436475,3338.069137436475,49.9800000000032,14,14.0,66.7880979879204
m0.35_L0.31_S0.63_rm1,0.35,0.31,0.63,True,1,3013.430547126192,3013.430547126192,49.9800000000032,13,13.0,60.29272803373347
m0.35_L0.48_S0.53_rm1,0.35,0.48,0.53,True,1,3176.9972965565016,3176.9972965565016,49.9800000000032,11,11.0,63.565372079957946
m0.35_L0.48_S0.58_rm1,0.35,0.48,0.58,True,1,3022.3169929901273,3022.3169929901273,49.9800000000032,11,11.0,60.47052807102708
m0.35_L0.48_S0.63_rm1,0.35,0.48,0.63,True,1,3236.0124684892903,3236.0124684892903,49.9800000000032,13,13.0,64.74614782891322
m0.45_L0.28_S0.53_rm1,0.45,0.28,0.53,True,1,3392.948226270162,3392.948226270162,49.9800000000032,16,16.0,67.88611897298809
m0.45_L0.28_S0.58_rm1,0.45,0.28,0.58,True,1,3303.069137436475,3303.069137436475,49.9800000000032,14,14.0,66.08781787587561
m0.45_L0.28_S0.63_rm1,0.45,0.28,0.63,True,1,3250.6118113946804,3250.6118113946804,49.9800000000032,14,14.0,65.03825152850085
m0.45_L0.31_S0.53_rm1,0.45,0.31,0.53,True,1,3009.4296512117876,3009.4296512117876,49.9800000000032,15,15.0,60.21267809547008
m0.45_L0.31_S0.58_rm1,0.45,0.31,0.58,True,1,3338.069137436475,3338.069137436475,49.9800000000032,14,14.0,66.7880979879204
m0.45_L0.31_S0.63_rm1,0.45,0.31,0.63,True,1,3013.430547126192,3013.430547126192,49.9800000000032,13,13.0,60.29272803373347
m0.45_L0.48_S0.53_rm1,0.45,0.48,0.53,True,1,3176.9972965565016,3176.9972965565016,49.9800000000032,11,11.0,63.565372079957946
m0.45_L0.48_S0.58_rm1,0.45,0.48,0.58,True,1,3022.3169929901273,3022.3169929901273,49.9800000000032,11,11.0,60.47052807102708
m0.45_L0.48_S0.63_rm1,0.45,0.48,0.63,True,1,3236.0124684892903,3236.0124684892903,49.9800000000032,13,13.0,64.74614782891322
