combo,meta_threshold,primary_long,primary_short,require_meta_for_trade,windows,total_pnl_sum,mean_pnl_per_window,max_drawdown_worst,trades_sum,mean_trades_per_window,pnl_over_mdd
m0.45_L0.31_S0.48_rm0,0.45,0.31,0.48,False,4,1179.2742560418849,294.8185640104712,1606.0008024965427,251,62.75,0.7342924450652156
m0.45_L0.31_S0.53_rm0,0.45,0.31,0.53,False,4,2690.1669688150982,672.5417422037746,1667.9398485112542,296,74.0,1.6128680966620281
m0.45_L0.31_S0.58_rm0,0.45,0.31,0.58,False,4,5693.924224815938,1423.4810562039845,1665.3044815188186,363,90.75,3.4191490433166134
m0.45_L0.33_S0.48_rm0,0.45,0.33,0.48,False,4,1119.697053468702,279.9242633671755,1669.6128402394752,251,62.75,0.6706327517869964
m0.45_L0.33_S0.53_rm0,0.45,0.33,0.53,False,4,2510.942771614756,627.735692903689,1667.9398485112542,295,73.75,1.5054156622350243
m0.45_L0.33_S0.58_rm0,0.45,0.33,0.58,False,4,5105.400812391882,1276.3502030979705,1620.1308498954677,326,81.5,3.151227453462347
m0.45_L0.38_S0.48_rm0,0.45,0.38,0.48,False,4,1085.5402811665003,271.3850702916251,1769.4779194924195,226,56.5,0.6134805465545968
m0.45_L0.38_S0.53_rm0,0.45,0.38,0.53,False,4,5292.300788922497,1323.0751972306243,1625.7871082805068,223,55.75,3.255223738684847
m0.45_L0.38_S0.58_rm0,0.45,0.38,0.58,False,4,6194.743223623282,1548.6858059058204,1660.9831311214803,275,68.75,3.729564200595252
m0.45_L0.43_S0.48_rm0,0.45,0.43,0.48,False,4,281.5304592976754,70.38261482441885,1769.4779194924195,170,42.5,0.15910368600611494
m0.45_L0.43_S0.53_rm0,0.45,0.43,0.53,False,4,4890.651394383924,1222.662848595981,1598.5542266972843,199,49.75,3.0594216403207812
m0.45_L0.43_S0.58_rm0,0.45,0.43,0.58,False,4,8091.521901496011,2022.8804753740028,1472.7225630027388,212,53.0,5.494260836880357
m0.4_L0.31_S0.48_rm0,0.4,0.31,0.48,False,4,1179.2742560418849,294.8185640104712,1606.0008024965427,251,62.75,0.7342924450652156
m0.4_L0.31_S0.53_rm0,0.4,0.31,0.53,False,4,2690.1669688150982,672.5417422037746,1667.9398485112542,296,74.0,1.6128680966620281
m0.4_L0.31_S0.58_rm0,0.4,0.31,0.58,False,4,5693.924224815938,1423.4810562039845,1665.3044815188186,363,90.75,3.4191490433166134
m0.4_L0.33_S0.48_rm0,0.4,0.33,0.48,False,4,1119.697053468702,279.9242633671755,1669.6128402394752,251,62.75,0.6706327517869964
m0.4_L0.33_S0.53_rm0,0.4,0.33,0.53,False,4,2510.942771614756,627.735692903689,1667.9398485112542,295,73.75,1.5054156622350243
m0.4_L0.33_S0.58_rm0,0.4,0.33,0.58,False,4,5105.400812391882,1276.3502030979705,1620.1308498954677,326,81.5,3.151227453462347
m0.4_L0.38_S0.48_rm0,0.4,0.38,0.48,False,4,1085.5402811665003,271.3850702916251,1769.4779194924195,226,56.5,0.6134805465545968
m0.4_L0.38_S0.53_rm0,0.4,0.38,0.53,False,4,5292.300788922497,1323.0751972306243,1625.7871082805068,223,55.75,3.255223738684847
m0.4_L0.38_S0.58_rm0,0.4,0.38,0.58,False,4,6197.320339883203,1549.3300849708007,1658.4060148615536,272,68.0,3.7369138102170747
m0.4_L0.43_S0.48_rm0,0.4,0.43,0.48,False,4,281.5304592976754,70.38261482441885,1769.4779194924195,170,42.5,0.15910368600611494
m0.4_L0.43_S0.53_rm0,0.4,0.43,0.53,False,4,4890.651394383924,1222.662848595981,1598.5542266972843,199,49.75,3.0594216403207812
m0.4_L0.43_S0.58_rm0,0.4,0.43,0.58,False,4,8091.521901496011,2022.8804753740028,1472.7225630027388,212,53.0,5.494260836880357
m0.5_L0.31_S0.48_rm0,0.5,0.31,0.48,False,4,1179.2742560418849,294.8185640104712,1606.0008024965427,251,62.75,0.7342924450652156
m0.5_L0.31_S0.53_rm0,0.5,0.31,0.53,False,4,2690.1669688150982,672.5417422037746,1667.9398485112542,296,74.0,1.6128680966620281
m0.5_L0.31_S0.58_rm0,0.5,0.31,0.58,False,4,5693.924224815938,1423.4810562039845,1665.3044815188186,363,90.75,3.4191490433166134
m0.5_L0.33_S0.48_rm0,0.5,0.33,0.48,False,4,1119.697053468702,279.9242633671755,1669.6128402394752,251,62.75,0.6706327517869964
m0.5_L0.33_S0.53_rm0,0.5,0.33,0.53,False,4,2510.942771614756,627.735692903689,1667.9398485112542,295,73.75,1.5054156622350243
m0.5_L0.33_S0.58_rm0,0.5,0.33,0.58,False,4,5105.400812391882,1276.3502030979705,1620.1308498954677,326,81.5,3.151227453462347
m0.5_L0.38_S0.48_rm0,0.5,0.38,0.48,False,4,1085.5402811665003,271.3850702916251,1769.4779194924195,226,56.5,0.6134805465545968
m0.5_L0.38_S0.53_rm0,0.5,0.38,0.53,False,4,5292.300788922497,1323.0751972306243,1625.7871082805068,223,55.75,3.255223738684847
m0.5_L0.38_S0.58_rm0,0.5,0.38,0.58,False,4,6194.743223623282,1548.6858059058204,1660.9831311214803,275,68.75,3.729564200595252
m0.5_L0.43_S0.48_rm0,0.5,0.43,0.48,False,4,281.5304592976754,70.38261482441885,1769.4779194924195,170,42.5,0.15910368600611494
m0.5_L0.43_S0.53_rm0,0.5,0.43,0.53,False,4,4890.651394383924,1222.662848595981,1598.5542266972843,199,49.75,3.0594216403207812
m0.5_L0.43_S0.58_rm0,0.5,0.43,0.58,False,4,8091.521901496011,2022.8804753740028,1472.7225630027388,212,53.0,5.494260836880357
