combo,window,meta_threshold,primary_long,primary_short,require_meta_for_trade,max_trades_per_day,trades_count,total_pnl_usd,max_drawdown_usd,profit_factor,win_rate,avg_trade_usd,passes_constraints
m0.4_L0.31_S0.48_rm0,y2022,0.4,0.31,0.48,False,,33,-1255.1286449026143,1553.919638423824,0.7049372974237628,0.42424242424242425,-38.03420136068528,True
m0.4_L0.31_S0.48_rm0,y2023,0.4,0.31,0.48,False,,52,184.5271355937408,1606.0008024965427,1.0434142794500796,0.4807692307692308,3.5485987614180923,True
m0.4_L0.31_S0.48_rm0,y2024,0.4,0.31,0.48,False,,152,3327.7664981558237,1357.0595871774858,1.3542968105076887,0.5328947368421053,21.893200645761997,True
m0.4_L0.31_S0.48_rm0,y2025_ytd,0.4,0.31,0.48,False,,14,-1077.8907328050652,1597.1128402394752,0.5943580098965021,0.42857142857142855,-76.9921952003618,True
m0.4_L0.31_S0.53_rm0,y2022,0.4,0.31,0.53,False,,31,-1575.4024895320886,1621.419638423824,0.6354306093941984,0.3870967741935484,-50.819435146196405,True
m0.4_L0.31_S0.53_rm0,y2023,0.4,0.31,0.53,False,,48,-267.9012991458786,1667.9398485112542,0.937733053414605,0.4791666666666667,-5.581277065539138,True
m0.4_L0.31_S0.53_rm0,y2024,0.4,0.31,0.53,False,,158,1251.8665277432972,1665.3044815188186,1.106963457431767,0.4936708860759494,7.92320587179302,True
m0.4_L0.31_S0.53_rm0,y2025_ytd,0.4,0.31,0.53,False,,59,3281.6042297497684,849.4422722667223,1.634042405534408,0.5084745762711864,55.62041067372489,True
m0.4_L0.31_S0.58_rm0,y2022,0.4,0.31,0.58,False,,28,-1586.365392875192,1366.0410006039456,0.5998662909720259,0.35714285714285715,-56.65590688839971,True
m0.4_L0.31_S0.58_rm0,y2023,0.4,0.31,0.58,False,,142,3062.8877196831154,1369.726957258703,1.2626969747395698,0.5633802816901409,21.569631828754332,True
m0.4_L0.31_S0.58_rm0,y2024,0.4,0.31,0.58,False,,151,686.379200960012,1665.3044815188186,1.0595877052102929,0.48344370860927155,4.545557622251735,True
m0.4_L0.31_S0.58_rm0,y2025_ytd,0.4,0.31,0.58,False,,42,3531.0226970480026,559.3082419803759,2.022863605937621,0.5476190476190477,84.0719689773334,True
m0.4_L0.33_S0.48_rm0,y2022,0.4,0.33,0.48,False,,32,-1002.952751230363,1621.419638423824,0.7535503241646874,0.4375,-31.342273475948843,True
m0.4_L0.33_S0.48_rm0,y2023,0.4,0.33,0.48,False,,59,161.0124622373908,1629.5154758529097,1.0330830144346934,0.4745762711864407,2.7290247836845896,True
m0.4_L0.33_S0.48_rm0,y2024,0.4,0.33,0.48,False,,148,3226.3334541568897,1357.0595871774858,1.351841334501226,0.527027027027027,21.79955036592493,True
m0.4_L0.33_S0.48_rm0,y2025_ytd,0.4,0.33,0.48,False,,12,-1264.6961116952152,1669.6128402394752,0.5088113260929916,0.4166666666666667,-105.39134264126794,True
m0.4_L0.33_S0.53_rm0,y2022,0.4,0.33,0.53,False,,30,-1352.6236350437694,1621.419638423824,0.6723022610314161,0.4,-45.08745450145898,True
m0.4_L0.33_S0.53_rm0,y2023,0.4,0.33,0.53,False,,48,-267.9012991458786,1667.9398485112542,0.937733053414605,0.4791666666666667,-5.581277065539138,True
