experiment_id,feature_set,model_config,train_window,successful_windows,median_test_auc,mean_test_auc,std_test_auc,min_test_auc,max_test_auc,median_train_auc,train_test_gap,signals_above_055,prob_range_median,elapsed_seconds
p1_current_full,full,current,6mo,6,0.5,0.5,0.0029,0.4943,0.5031,0.5014,0.0014,0,0.0401,7.8
p1_conservative_full,full,conservative,6mo,6,0.5275,0.5235,0.0278,0.4809,0.5584,0.5766,0.0491,19,0.3397,7.1
p1_aggressive_full,full,aggressive,6mo,6,0.5047,0.5137,0.0454,0.4709,0.6091,0.567,0.0623,0,0.4435,7.0
p1_minimal_full,full,minimal,6mo,6,0.527,0.5378,0.05,0.4799,0.6168,0.5589,0.0319,29,0.2636,6.8
p1_current_top15,top15,current,6mo,6,0.5077,0.5187,0.0286,0.5,0.5806,0.5087,0.0009,2,0.053,7.8
p1_conservative_top15,top15,conservative,6mo,6,0.5217,0.5402,0.0447,0.4957,0.6123,0.5855,0.0637,2,0.4501,7.4
p1_aggressive_top15,top15,aggressive,6mo,6,0.517,0.5342,0.0509,0.4698,0.6237,0.5576,0.0407,2,0.2338,7.1
p1_minimal_top15,top15,minimal,6mo,6,0.5386,0.5433,0.0515,0.4743,0.6084,0.5586,0.0201,43,0.2028,7.1
p1_current_top10,top10,current,6mo,6,0.5014,0.5029,0.0033,0.5,0.5082,0.5005,-0.001,2,0.0121,8.0
p1_conservative_top10,top10,conservative,6mo,6,0.5152,0.5258,0.033,0.4999,0.5955,0.5314,0.0162,1,0.1456,7.6
p1_aggressive_top10,top10,aggressive,6mo,6,0.5219,0.5222,0.044,0.4578,0.5779,0.5621,0.0402,8,0.4742,7.2
p1_minimal_top10,top10,minimal,6mo,6,0.5399,0.5376,0.0502,0.4608,0.6061,0.5565,0.0166,60,0.122,7.1
p1_current_top5,top5,current,6mo,6,0.5,0.5075,0.0118,0.5,0.5316,0.5067,0.0067,1,0.0,8.0
p1_conservative_top5,top5,conservative,6mo,6,0.53,0.5322,0.0396,0.4689,0.5839,0.5639,0.034,65,0.4222,7.5
p1_aggressive_top5,top5,aggressive,6mo,6,0.5513,0.5414,0.0526,0.466,0.6,0.5603,0.009,14,0.3107,7.1
p1_minimal_top5,top5,minimal,6mo,6,0.5276,0.5264,0.0419,0.4611,0.5822,0.5471,0.0195,12,0.1431,7.1
p2_aggressive_top5_6mo,top5,aggressive,6mo,6,0.5513,0.5414,0.0526,0.466,0.6,0.5603,0.009,14,0.3107,7.2
p2_aggressive_top5_12mo,top5,aggressive,12mo,6,0.5188,0.5243,0.0386,0.4809,0.6001,0.544,0.0253,14,0.6208,15.8
p2_aggressive_top5_24mo,top5,aggressive,24mo,6,0.5299,0.5256,0.0446,0.4558,0.5817,0.5378,0.0079,4,0.308,40.2
p2_aggressive_top5_full,top5,aggressive,full,6,0.5357,0.5395,0.0281,0.5061,0.5815,0.5388,0.003,12,0.3497,72.2
p2_conservative_top10_6mo,top10,conservative,6mo,6,0.5152,0.5258,0.033,0.4999,0.5955,0.5314,0.0162,1,0.1456,7.5
p2_conservative_top10_12mo,top10,conservative,12mo,6,0.5222,0.5179,0.0134,0.4995,0.5328,0.5608,0.0386,3,0.1498,16.5
p2_conservative_top10_24mo,top10,conservative,24mo,6,0.5362,0.5357,0.0312,0.4772,0.5726,0.5479,0.0118,1,0.1927,41.6
p2_conservative_top10_full,top10,conservative,full,6,0.55,0.5435,0.0307,0.4856,0.584,0.5457,-0.0043,2,0.1366,75.6
