combo,meta_threshold,primary_long,primary_short,require_meta_for_trade,windows,total_pnl_sum,mean_pnl_per_window,max_drawdown_worst,trades_sum,mean_trades_per_window,pnl_over_mdd
m0.35_L0.28_S0.43_rm0,0.35,0.28,0.43,False,1,3427.319275200726,3427.319275200726,954.9837053552983,60,60.0,3.5888772300314846
m0.35_L0.28_S0.43_rm1,0.35,0.28,0.43,True,1,3392.948226270162,3392.948226270162,49.9800000000032,16,16.0,67.88611897298809
m0.35_L0.28_S0.48_rm0,0.35,0.28,0.48,False,1,3145.000420313832,3145.000420313832,954.9837053552983,59,59.0,3.293250348333164
m0.35_L0.28_S0.48_rm1,0.35,0.28,0.48,True,1,3392.948226270162,3392.948226270162,49.9800000000032,16,16.0,67.88611897298809
m0.35_L0.28_S0.53_rm0,0.35,0.28,0.53,False,1,3227.3051774665237,3227.3051774665237,954.9837053552983,58,58.0,3.379434810634613
m0.35_L0.28_S0.53_rm1,0.35,0.28,0.53,True,1,3392.948226270162,3392.948226270162,49.9800000000032,16,16.0,67.88611897298809
m0.35_L0.28_S0.58_rm0,0.35,0.28,0.58,False,1,3024.3611047281224,3024.3611047281224,1137.8293728588033,67,67.0,2.658009343816988
m0.35_L0.28_S0.58_rm1,0.35,0.28,0.58,True,1,3303.069137436475,3303.069137436475,49.9800000000032,14,14.0,66.08781787587561
m0.35_L0.28_S0.63_rm0,0.35,0.28,0.63,False,1,1330.4629618562221,1330.4629618562221,1596.38592449922,84,84.0,0.8334218821639781
m0.35_L0.28_S0.63_rm1,0.35,0.28,0.63,True,1,3250.6118113946804,3250.6118113946804,49.9800000000032,14,14.0,65.03825152850085
m0.35_L0.31_S0.43_rm0,0.35,0.31,0.43,False,1,3424.6055659616013,3424.6055659616013,881.6591644226719,58,58.0,3.8842737694493334
m0.35_L0.31_S0.43_rm1,0.35,0.31,0.43,True,1,3009.4296512117876,3009.4296512117876,49.9800000000032,15,15.0,60.21267809547008
m0.35_L0.31_S0.48_rm0,0.35,0.31,0.48,False,1,3396.0611424487333,3396.0611424487333,649.2575492169126,56,56.0,5.2306841045511385
m0.35_L0.31_S0.48_rm1,0.35,0.31,0.48,True,1,3009.4296512117876,3009.4296512117876,49.9800000000032,15,15.0,60.21267809547008
m0.35_L0.31_S0.53_rm0,0.35,0.31,0.53,False,1,3435.3521841063284,3435.3521841063284,532.8060449497498,50,50.0,6.447659925536928
m0.35_L0.31_S0.53_rm1,0.35,0.31,0.53,True,1,3009.4296512117876,3009.4296512117876,49.9800000000032,15,15.0,60.21267809547008
