combo,meta_threshold,primary_long,primary_short,require_meta_for_trade,max_trades_per_day,windows,total_pnl_sum,mean_pnl_per_window,max_drawdown_worst,trades_sum,mean_trades_per_window,pnl_over_mdd
m0.35_L0.33_S0.48_rm1_mtd12,0.35,0.33,0.48,True,12,1,3665.0247144085524,3665.0247144085524,49.9800000000032,14,14.0,73.32982621865382
m0.35_L0.33_S0.48_rm1_mtd4,0.35,0.33,0.48,True,4,1,3665.0247144085524,3665.0247144085524,49.9800000000032,14,14.0,73.32982621865382
m0.35_L0.33_S0.48_rm1_mtd6,0.35,0.33,0.48,True,6,1,3665.0247144085524,3665.0247144085524,49.9800000000032,14,14.0,73.32982621865382
m0.35_L0.33_S0.48_rm1_mtd8,0.35,0.33,0.48,True,8,1,3665.0247144085524,3665.0247144085524,49.9800000000032,14,14.0,73.32982621865382
m0.35_L0.33_S0.53_rm1_mtd12,0.35,0.33,0.53,True,12,1,3665.0247144085524,3665.0247144085524,49.9800000000032,14,14.0,73.32982621865382
m0.35_L0.33_S0.53_rm1_mtd4,0.35,0.33,0.53,True,4,1,3665.0247144085524,3665.0247144085524,49.9800000000032,14,14.0,73.32982621865382
m0.35_L0.33_S0.53_rm1_mtd6,0.35,0.33,0.53,True,6,1,3665.0247144085524,3665.0247144085524,49.9800000000032,14,14.0,73.32982621865382
m0.35_L0.33_S0.53_rm1_mtd8,0.35,0.33,0.53,True,8,1,3665.0247144085524,3665.0247144085524,49.9800000000032,14,14.0,73.32982621865382
m0.45_L0.33_S0.48_rm1_mtd12,0.45,0.33,0.48,True,12,1,3665.0247144085524,3665.0247144085524,49.9800000000032,14,14.0,73.32982621865382
m0.45_L0.33_S0.48_rm1_mtd4,0.45,0.33,0.48,True,4,1,3665.0247144085524,3665.0247144085524,49.9800000000032,14,14.0,73.32982621865382
m0.45_L0.33_S0.48_rm1_mtd6,0.45,0.33,0.48,True,6,1,3665.0247144085524,3665.0247144085524,49.9800000000032,14,14.0,73.32982621865382
m0.45_L0.33_S0.48_rm1_mtd8,0.45,0.33,0.48,True,8,1,3665.0247144085524,3665.0247144085524,49.9800000000032,14,14.0,73.32982621865382
m0.45_L0.33_S0.53_rm1_mtd12,0.45,0.33,0.53,True,12,1,3665.0247144085524,3665.0247144085524,49.9800000000032,14,14.0,73.32982621865382
m0.45_L0.33_S0.53_rm1_mtd4,0.45,0.33,0.53,True,4,1,3665.0247144085524,3665.0247144085524,49.9800000000032,14,14.0,73.32982621865382
m0.45_L0.33_S0.53_rm1_mtd6,0.45,0.33,0.53,True,6,1,3665.0247144085524,3665.0247144085524,49.9800000000032,14,14.0,73.32982621865382
m0.45_L0.33_S0.53_rm1_mtd8,0.45,0.33,0.53,True,8,1,3665.0247144085524,3665.0247144085524,49.9800000000032,14,14.0,73.32982621865382
