combo,meta_threshold,primary_long,primary_short,require_meta_for_trade,max_trades_per_day,windows,total_pnl_sum,mean_pnl_per_window,max_drawdown_worst,trades_sum,mean_trades_per_window,pnl_over_mdd
m0.35_L0.28_S0.48_rm1_mtd12,0.35,0.28,0.48,True,12,1,3392.948226270162,3392.948226270162,49.9800000000032,16,16.0,67.88611897298809
m0.35_L0.28_S0.48_rm1_mtd4,0.35,0.28,0.48,True,4,1,3392.948226270162,3392.948226270162,49.9800000000032,16,16.0,67.88611897298809
m0.35_L0.28_S0.48_rm1_mtd6,0.35,0.28,0.48,True,6,1,3392.948226270162,3392.948226270162,49.9800000000032,16,16.0,67.88611897298809
m0.35_L0.28_S0.48_rm1_mtd8,0.35,0.28,0.48,True,8,1,3392.948226270162,3392.948226270162,49.9800000000032,16,16.0,67.88611897298809
m0.35_L0.28_S0.53_rm1_mtd12,0.35,0.28,0.53,True,12,1,3392.948226270162,3392.948226270162,49.9800000000032,16,16.0,67.88611897298809
m0.35_L0.28_S0.53_rm1_mtd4,0.35,0.28,0.53,True,4,1,3392.948226270162,3392.948226270162,49.9800000000032,16,16.0,67.88611897298809
m0.35_L0.28_S0.53_rm1_mtd6,0.35,0.28,0.53,True,6,1,3392.948226270162,3392.948226270162,49.9800000000032,16,16.0,67.88611897298809
m0.35_L0.28_S0.53_rm1_mtd8,0.35,0.28,0.53,True,8,1,3392.948226270162,3392.948226270162,49.9800000000032,16,16.0,67.88611897298809
m0.35_L0.28_S0.58_rm1_mtd12,0.35,0.28,0.58,True,12,1,3303.069137436475,3303.069137436475,49.9800000000032,14,14.0,66.08781787587561
m0.35_L0.28_S0.58_rm1_mtd4,0.35,0.28,0.58,True,4,1,3303.069137436475,3303.069137436475,49.9800000000032,14,14.0,66.08781787587561
m0.35_L0.28_S0.58_rm1_mtd6,0.35,0.28,0.58,True,6,1,3303.069137436475,3303.069137436475,49.9800000000032,14,14.0,66.08781787587561
m0.35_L0.28_S0.58_rm1_mtd8,0.35,0.28,0.58,True,8,1,3303.069137436475,3303.069137436475,49.9800000000032,14,14.0,66.08781787587561
m0.35_L0.33_S0.48_rm1_mtd12,0.35,0.33,0.48,True,12,1,3665.0247144085524,3665.0247144085524,49.9800000000032,14,14.0,73.32982621865382
m0.35_L0.33_S0.48_rm1_mtd4,0.35,0.33,0.48,True,4,1,3665.0247144085524,3665.0247144085524,49.9800000000032,14,14.0,73.32982621865382
m0.35_L0.33_S0.48_rm1_mtd6,0.35,0.33,0.48,True,6,1,3665.0247144085524,3665.0247144085524,49.9800000000032,14,14.0,73.32982621865382
m0.35_L0.33_S0.48_rm1_mtd8,0.35,0.33,0.48,True,8,1,3665.0247144085524,3665.0247144085524,49.9800000000032,14,14.0,73.32982621865382
m0.35_L0.33_S0.53_rm1_mtd12,0.35,0.33,0.53,True,12,1,3665.0247144085524,3665.0247144085524,49.9800000000032,14,14.0,73.32982621865382
m0.35_L0.33_S0.53_rm1_mtd4,0.35,0.33,0.53,True,4,1,3665.0247144085524,3665.0247144085524,49.9800000000032,14,14.0,73.32982621865382
m0.35_L0.33_S0.53_rm1_mtd6,0.35,0.33,0.53,True,6,1,3665.0247144085524,3665.0247144085524,49.9800000000032,14,14.0,73.32982621865382
m0.35_L0.33_S0.53_rm1_mtd8,0.35,0.33,0.53,True,8,1,3665.0247144085524,3665.0247144085524,49.9800000000032,14,14.0,73.32982621865382
m0.35_L0.33_S0.58_rm1_mtd12,0.35,0.33,0.58,True,12,1,3163.438524427949,3163.438524427949,49.9800000000032,13,13.0,63.29408812380444
m0.35_L0.33_S0.58_rm1_mtd4,0.35,0.33,0.58,True,4,1,3163.438524427949,3163.438524427949,49.9800000000032,13,13.0,63.29408812380444
m0.35_L0.33_S0.58_rm1_mtd6,0.35,0.33,0.58,True,6,1,3163.438524427949,3163.438524427949,49.9800000000032,13,13.0,63.29408812380444
m0.35_L0.33_S0.58_rm1_mtd8,0.35,0.33,0.58,True,8,1,3163.438524427949,3163.438524427949,49.9800000000032,13,13.0,63.29408812380444
m0.35_L0.38_S0.48_rm1_mtd12,0.35,0.38,0.48,True,12,1,3367.0172965565016,3367.0172965565016,49.9800000000032,12,12.0,67.36729284826502
m0.35_L0.38_S0.48_rm1_mtd4,0.35,0.38,0.48,True,4,1,3367.0172965565016,3367.0172965565016,49.9800000000032,12,12.0,67.36729284826502
m0.35_L0.38_S0.48_rm1_mtd6,0.35,0.38,0.48,True,6,1,3367.0172965565016,3367.0172965565016,49.9800000000032,12,12.0,67.36729284826502
m0.35_L0.38_S0.48_rm1_mtd8,0.35,0.38,0.48,True,8,1,3367.0172965565016,3367.0172965565016,49.9800000000032,12,12.0,67.36729284826502
m0.35_L0.38_S0.53_rm1_mtd12,0.35,0.38,0.53,True,12,1,3367.0172965565016,3367.0172965565016,49.9800000000032,12,12.0,67.36729284826502
m0.35_L0.38_S0.53_rm1_mtd4,0.35,0.38,0.53,True,4,1,3367.0172965565016,3367.0172965565016,49.9800000000032,12,12.0,67.36729284826502
m0.35_L0.38_S0.53_rm1_mtd6,0.35,0.38,0.53,True,6,1,3367.0172965565016,3367.0172965565016,49.9800000000032,12,12.0,67.36729284826502
m0.35_L0.38_S0.53_rm1_mtd8,0.35,0.38,0.53,True,8,1,3367.0172965565016,3367.0172965565016,49.9800000000032,12,12.0,67.36729284826502
m0.35_L0.38_S0.58_rm1_mtd12,0.35,0.38,0.58,True,12,1,3212.3369929901273,3212.3369929901273,49.9800000000032,12,12.0,64.27244883933416
