combo,window,cusum_threshold_atr_mult,pt_mult,sl_mult,horizon_5m_bars,trades_count,total_pnl_usd,max_drawdown_usd,profit_factor,win_rate,passes_constraints
cus0.6_pt3.0_sl3.0_hz24,ytd_2026_jan_apr,0.6,3.0,3.0,24,60,3532.2387788866954,825.8618661800792,1.8066941521718718,0.5833333333333334,True
cus0.8_pt3.0_sl2.0_hz6,ytd_2026_jan_apr,0.8,3.0,2.0,6,44,3522.1567505710414,609.0799440144401,2.37312098554394,0.5909090909090909,True
cus0.8_pt3.5_sl3.0_hz18,ytd_2026_jan_apr,0.8,3.5,3.0,18,47,3468.0227434364033,579.1814908829474,2.3246876062342703,0.5957446808510638,True
cus0.8_pt3.0_sl3.0_hz12,ytd_2026_jan_apr,0.8,3.0,3.0,12,55,3431.137921651537,832.310919323987,1.8836076394187558,0.6,True
cus1.0_pt3.0_sl2.5_hz18,ytd_2026_jan_apr,1.0,3.0,2.5,18,53,3431.020276904248,716.7726370773162,1.899977377180258,0.5471698113207547,True
cus0.6_pt3.0_sl2.5_hz18,ytd_2026_jan_apr,0.6,3.0,2.5,18,64,3374.913254833303,1267.8068380114128,1.770598427456873,0.53125,True
cus0.6_pt3.5_sl3.0_hz12,ytd_2026_jan_apr,0.6,3.5,3.0,12,49,3364.6690794418732,797.1210590602932,2.118567252426956,0.6122448979591837,True
cus1.0_pt2.5_sl3.0_hz24,ytd_2026_jan_apr,1.0,2.5,3.0,24,37,3320.0335355159805,305.28437316765485,3.2982744567587807,0.7027027027027027,True
cus0.6_pt3.5_sl3.0_hz18,ytd_2026_jan_apr,0.6,3.5,3.0,18,52,3311.7748207587438,959.1429330560277,1.9847432707861068,0.6346153846153846,True
cus0.6_pt3.0_sl2.0_hz18,ytd_2026_jan_apr,0.6,3.0,2.0,18,64,3292.224819451988,692.2695439493327,1.8324347710804678,0.515625,True
cus0.6_pt2.5_sl2.0_hz12,ytd_2026_jan_apr,0.6,2.5,2.0,12,79,3284.9166545619805,708.3048852377688,1.7147259889006468,0.5822784810126582,True
cus0.8_pt3.5_sl3.0_hz12,ytd_2026_jan_apr,0.8,3.5,3.0,12,44,3280.676767552415,797.1210590602932,2.2817405406964886,0.6136363636363636,True
cus0.6_pt2.5_sl2.5_hz24,ytd_2026_jan_apr,0.6,2.5,2.5,24,46,3261.8546165587522,767.3777510377695,2.2768470089274104,0.6521739130434783,True
cus0.6_pt3.0_sl3.0_hz18,ytd_2026_jan_apr,0.6,3.0,3.0,18,63,3242.1524536942866,1195.4189588375739,1.6642138981306565,0.6190476190476191,True
cus0.6_pt2.5_sl3.0_hz18,ytd_2026_jan_apr,0.6,2.5,3.0,18,39,3233.9504287082627,467.4800000000032,2.8870855217973808,0.717948717948718,True
cus1.0_pt3.0_sl3.0_hz18,ytd_2026_jan_apr,1.0,3.0,3.0,18,44,3231.97669699571,469.9800000000032,2.2197341681826313,0.6363636363636364,True
cus1.0_pt2.5_sl2.5_hz18,ytd_2026_jan_apr,1.0,2.5,2.5,18,48,3229.8241238490436,505.9582060677785,2.2851648362096,0.625,True
cus0.6_pt2.5_sl3.0_hz6,ytd_2026_jan_apr,0.6,2.5,3.0,6,36,3227.592169181561,314.9800000000032,3.47443169075047,0.8055555555555556,True
cus0.8_pt2.5_sl2.5_hz24,ytd_2026_jan_apr,0.8,2.5,2.5,24,66,3211.4090834556596,1275.987713992421,1.8085881702046298,0.6818181818181818,True
cus1.0_pt2.5_sl2.5_hz12,ytd_2026_jan_apr,1.0,2.5,2.5,12,87,3209.78790668988,1058.2521303959438,1.5101772764956025,0.6091954022988506,True
cus1.0_pt2.5_sl3.0_hz6,ytd_2026_jan_apr,1.0,2.5,3.0,6,30,3205.0912679348266,659.2226204635008,3.765319744795853,0.8,True
cus0.6_pt3.5_sl3.0_hz6,ytd_2026_jan_apr,0.6,3.5,3.0,6,40,3199.1091524808417,1377.2596174125356,2.0850835297640544,0.675,True
cus0.6_pt2.5_sl2.0_hz24,ytd_2026_jan_apr,0.6,2.5,2.0,24,79,3176.9604790823496,1080.74267034285,1.5838762087355507,0.5822784810126582,True
cus0.8_pt3.0_sl3.0_hz24,ytd_2026_jan_apr,0.8,3.0,3.0,24,62,3170.5514177785717,797.1210590602932,1.6812281190700575,0.5806451612903226,True
cus1.0_pt2.5_sl2.5_hz6,ytd_2026_jan_apr,1.0,2.5,2.5,6,44,3166.2530643940977,755.6129840264985,2.1137340476533986,0.6363636363636364,True
cus0.8_pt2.5_sl3.0_hz18,ytd_2026_jan_apr,0.8,2.5,3.0,18,61,3159.497278559372,934.9800000000032,1.8779179162822344,0.7049180327868853,True
cus0.8_pt2.5_sl2.0_hz24,ytd_2026_jan_apr,0.8,2.5,2.0,24,104,3152.478471966654,1424.3362805605357,1.3741126552606877,0.5576923076923077,True
cus0.8_pt2.5_sl2.5_hz6,ytd_2026_jan_apr,0.8,2.5,2.5,6,93,3143.2907890523643,1140.8925208325963,1.3905462479960202,0.6021505376344086,True
cus0.6_pt3.0_sl2.5_hz12,ytd_2026_jan_apr,0.6,3.0,2.5,12,79,3139.311367516107,985.628490333831,1.5886955342216553,0.5949367088607594,True
cus0.8_pt3.0_sl2.5_hz12,ytd_2026_jan_apr,0.8,3.0,2.5,12,62,3138.2542281839246,776.3121277869577,1.7312776119091677,0.5806451612903226,True
cus0.6_pt2.5_sl3.0_hz12,ytd_2026_jan_apr,0.6,2.5,3.0,12,40,3135.0386276172967,307.4800000000032,3.3505414703012066,0.8,True
cus1.0_pt3.5_sl3.0_hz18,ytd_2026_jan_apr,1.0,3.5,3.0,18,47,3133.5241539677995,1112.8154080433815,1.8850589131014757,0.7021276595744681,True
